n1,n2,coeff
-10,-10,0.0005294841428727759
-10,-9,0.00040210080850520686
-10,-8,-0.0007514721976992655
-10,-7,0.00010090725943573048
-10,-6,0.000800204097848482
-10,-5,0.0004148045854809366
-10,-4,-0.0004414630282195077
-10,-3,0.0012395779700470689
-10,-2,0.0011026712870196766
-10,-1,0.0009404869254129994
-10,0,-0.000593609318563234
-10,1,0.001702673959973667
-10,2,0.0004285607370082738
-10,3,0.0008485667978289175
-10,4,-0.0015536605867179042
-10,5,0.0006771309260349933
-10,6,0.0005255401288861811
-10,7,0.00016770353050871598
-10,8,-7.905496901391745e-05
-10,9,-0.0015682764887179268
-9,-10,0.00013434172494520264
-9,-9,-1.3669659790123595e-05
-9,-8,-0.0012149529239844498
-9,-7,0.0007177709213046906
-9,-6,0.0015244600196914005
-9,-5,-0.0012114318083290237
-9,-4,0.00030952075282554
-9,-3,0.0005515940930720977
-9,-2,0.0005789559740700933
-9,-1,0.0020604291007876754
-9,0,-0.001477910792866536
-9,1,0.0042098458993376775
-9,2,-0.002060403278298208
-9,3,-0.00028172649947830517
-9,4,7.49265944192799e-05
-9,5,0.0004357251894969919
-9,6,0.0004922223914937747
-9,7,-0.00048692849308446575
-9,8,0.0002852167622908815
-9,9,0.00031706048429213214
-8,-10,0.0002629771390562541
-8,-9,-0.00023574418265880854
-8,-8,-0.0005349646883834037
-8,-7,0.00025074061514090333
-8,-6,-0.0014952581373630514
-8,-5,0.00020004270051718524
-8,-4,-0.0001942785837584786
-8,-3,-0.0012394626672950204
-8,-2,0.0022436959966811317
-8,-1,-0.0011098977082119091
-8,0,-8.667725152532774e-05
-8,1,0.0038640515773487134
-8,2,-0.0033037780355572493
-8,3,-0.0011370156980850482
-8,4,0.0010298148605141354
-8,5,-0.0008378451053796024
-8,6,-0.0012409561533352344
-8,7,0.0004585803766051924
-8,8,-0.0010257442695125474
-8,9,0.0020749588542303406
-7,-10,0.0002325353635101857
-7,-9,-0.0007310535747273515
-7,-8,0.0023961873329913985
-7,-7,0.0007862224411938983
-7,-6,-0.00024817279957058954
-7,-5,-0.00017012117331738615
-7,-4,-0.00026637963188807183
-7,-3,0.00040054510565173035
-7,-2,-0.0006780252213459731
-7,-1,-0.0029026136992437728
-7,0,0.002573962681214285
-7,1,-0.009760569535730951
-7,2,0.003567954672892838
-7,3,-0.002316265556181623
-7,4,-0.0005645305708355709
-7,5,-0.0008544235011408766
-7,6,-0.0009483814414890962
-7,7,0.0027871741280029575
-7,8,-0.00035336755955355615
-7,9,-0.0005662571030773168
-6,-10,5.7236158272587784e-05
-6,-9,0.0007223805260978778
-6,-8,-0.0007993786821667875
-6,-7,0.00017102430254371746
-6,-6,-0.000309816676203338
-6,-5,-0.002139277196320172
-6,-4,0.0023023776237399178
-6,-3,0.0020494931427795736
-6,-2,-0.004452000785898108
-6,-1,-0.003401285699776203
-6,0,0.0072254662816803655
-6,1,-0.01262839216707401
-6,2,0.009569148484788313
-6,3,0.00040313603641438286
-6,4,-0.00010109901606340195
-6,5,0.00011241533352394654
-6,6,0.0018154630996013057
-6,7,-0.0007166422866479351
-6,8,0.0012024108222140942
-6,9,-0.0020313998994288805
-5,-10,0.0004364102949083973
-5,-9,0.000772352612243958
-5,-8,-0.003372668478921316
-5,-7,0.000603080546926711
-5,-6,0.0019806206260445085
-5,-5,-0.003259820148117171
-5,-4,0.0011938871282191597
-5,-3,0.005512565938512355
-5,-2,-0.0043773541435998525
-5,-1,-0.019454030972309008
-5,0,0.01411891382883765
-5,1,-0.03779667023622724
-5,2,0.020941795492331675
-5,3,-0.0002892180299660141
-5,4,-0.0043252338187118305
-5,5,0.0005922503915136477
-5,6,7.694669861589326e-05
-5,7,-0.001259188720872844
-5,8,0.0012880674121493703
-5,9,0.0014465068745235397
-4,-10,-8.650403864351974e-05
-4,-9,-0.0007344209808063358
-4,-8,0.001213232081030244
-4,-7,3.6978830100318416e-05
-4,-6,-0.0005578591734970332
-4,-5,0.0004140953979839842
-4,-4,-0.0015286100408775933
-4,-3,-0.012182410566115003
-4,-2,0.04643816346014917
-4,-1,-0.02835709016385128
-4,0,-0.008310688009261309
-4,1,0.038838310959770576
-4,2,0.0010724661200984713
-4,3,-0.01427951127478362
-4,4,0.00047566663276076937
-4,5,0.002726681996442656
-4,6,-0.0018613440635911458
-4,7,0.0029843556754724975
-4,8,0.0010448458538615281
-4,9,-0.002033589271648229
-3,-10,-0.000749452761642717
-3,-9,0.001021703832985341
-3,-8,0.0028518874710963915
-3,-7,-0.005202576055358951
-3,-6,0.005079322952476298
-3,-5,-0.006844000454166203
-3,-4,0.002604750118325336
-3,-3,0.006206780385351838
-3,-2,-6.442951879981084e-05
-3,-1,-0.08599019094618604
-3,0,0.0394793398636641
-3,1,-0.3059915337001342
-3,2,0.13795257548717102
-3,3,-0.011711739205209064
-3,4,-0.016219631162553684
-3,5,0.009565003615511979
-3,6,-0.0006892472637263022
-3,7,0.0008505627987611867
-3,8,-0.0022318345968475447
-3,9,-5.129803183951281e-05
-2,-10,-0.0006679128396274138
-2,-9,0.0008861066614338596
-2,-8,0.00303769715927519
-2,-7,-0.008206332960286493
-2,-6,0.019194552989995152
-2,-5,-0.03577679239045134
-2,-4,0.01823739502723365
-2,-3,0.09902287104589727
-2,-2,-0.2537918776795595
-2,-1,-0.1476279556169778
-2,0,0.21527524785136373
-2,1,-1.1592760330093583
-2,2,0.42992062455020935
-2,3,0.037958723522278234
-2,4,-0.05645104792533407
-2,5,0.017768290389504886
-2,6,0.009287815445371593
-2,7,-0.002935100488894697
-2,8,-0.0035263922259663647
-2,9,0.004388444085791547
-1,-10,8.019526969454461e-05
-1,-9,-0.001366979837494876
-1,-8,-0.0004891522749956888
-1,-7,0.0016960589006210832
-1,-6,0.0027484458184606664
-1,-5,-0.005396025739369617
-1,-4,-0.008842050997453553
-1,-3,0.04639086916233307
-1,-2,-0.059230305551003434
-1,-1,-0.025776489419833265
-1,0,0.0637020162532172
-1,1,0.03182594442990018
-1,2,0.00425356917927466
-1,3,0.006493303348682304
-1,4,-0.007815059801623503
-1,5,-0.0008140833243695707
-1,6,0.002712550338446003
-1,7,-0.0020956576296318648
-1,8,0.0005033746903368283
-1,9,-0.0013228236298481342
0,-10,0.0008213739787146256
0,-9,-0.0001647777884953596
0,-8,-0.002562259702600141
0,-7,0.0045679499268114045
0,-6,-0.012111588987905477
0,-5,0.02507104905284002
0,-4,-0.01585141813082397
0,-3,-0.06305413185927275
0,-2,0.17551927968850034
0,-1,0.0917248883180271
0,0,-0.1393362612323364
0,1,0.827440170875736
0,2,-0.3028508085543426
0,3,-0.02901620464070543
0,4,0.039890704444770546
0,5,-0.011608682198585978
0,6,-0.006847416685467828
0,7,0.0015719542915191432
0,8,0.0038467905551748914
0,9,-0.0020327714562368717
1,-10,-0.0034414562782260436
1,-9,0.004680529209611177
1,-8,0.007758517461932574
1,-7,-0.02090895347660811
1,-6,0.05602626185113208
1,-5,-0.11093707863989266
1,-4,0.058429425550684255
1,-3,0.2502351468093117
1,-2,-0.5815828307149447
1,-1,-0.6336054446099124
1,0,0.6443490207768444
1,1,-3.3399473345956885
1,2,1.2569587758779064
1,3,0.10899337659313145
1,4,-0.20518919305680117
1,5,0.06382491847088632
1,6,0.029302317707157084
1,7,-0.007648736131045786
1,8,-0.007690699787306891
1,9,0.010164146663323421
2,-10,5.397576221695584e-06
2,-9,0.0006662567394773288
2,-8,0.002504031477386902
2,-7,-0.004948213445558586
2,-6,0.010560802554754908
2,-5,-0.011225245308510526
2,-4,0.004224444597219446
2,-3,-0.0020085704573615387
2,-2,0.046529054931539617
2,-1,-0.1546826164826999
2,0,0.053671131560381675
2,1,-0.39939065483536623
2,2,0.2093395921187253
2,3,-0.03454766969975223
2,4,-0.023646692707934472
2,5,0.018583697004139116
2,6,-0.0028815681490938706
2,7,0.0021799498800748164
2,8,-0.0020200436062767562
2,9,0.00047452982784005715
3,-10,0.0013558448116432983
3,-9,-0.0013812834939466664
3,-8,-0.0009966030652069262
3,-7,0.001902624947050145
3,-6,-0.00576009397620604
3,-5,0.013129393641889388
3,-4,-0.009610863568751573
3,-3,-0.0441162507848118
3,-2,0.12622030131712123
3,-1,0.026546475437833804
3,0,-0.0782328074977756
3,1,0.41574908454238807
3,2,-0.13011657076504002
3,3,-0.033699740946081025
3,4,0.02327078886236263
3,5,-0.0024518865247430636
3,6,-0.007037423113977814
3,7,-0.00022712274992654473
3,8,0.0018500183977294123
3,9,-0.0011993733148853356
4,-10,-0.0006926685345973742
4,-9,-0.0010178686886212688
4,-8,-0.00044632572434733165
4,-7,0.0022286479141859737
4,-6,-0.0014363708244673516
4,-5,7.99845804008649e-05
4,-4,-0.0012025891064847607
4,-3,0.00758774118709665
4,-2,-0.007516487985904034
4,-1,-0.003719018866314141
4,0,0.013008003673206123
4,1,0.04553684741050281
4,2,-0.015025485682525477
4,3,0.0005688053520944949
4,4,0.0007891586690920696
4,5,0.00041871559881363177
4,6,-0.0017237968872361419
4,7,0.000623465646986437
4,8,0.000298013463057907
4,9,-0.0004925402551680844
5,-10,0.0005249568779029854
5,-9,0.0006933333252755243
5,-8,-0.0011974721026633147
5,-7,-0.0018144031652396473
5,-6,0.0006573620101322882
5,-5,-0.0024497812871105092
5,-4,0.0005062607493836442
5,-3,0.008515572584484621
5,-2,-0.017939982239412528
5,-1,0.004429418380640596
5,0,0.007743490383331832
5,1,-0.01566396235085147
5,2,0.004880273594559067
5,3,0.0042652774408308836
5,4,-0.0032548499295195496
5,5,0.001556582979171616
5,6,0.0012931380976483762
5,7,-0.0022544316694309606
5,8,-0.000980821737980805
5,9,0.0002349189074993591
6,-10,-0.00044442726928094304
6,-9,0.002225532862011987
6,-8,-0.0010147773457891745
6,-7,0.0002018920215900039
6,-6,0.000629139093792191
6,-5,-0.00020734009521139685
6,-4,-0.0013704749354344402
6,-3,-0.002519275249755585
6,-2,0.002733399671035776
6,-1,0.012413539165215912
6,0,-0.008941066724014369
6,1,0.04087044213765633
6,2,-0.016253525159192
6,3,-0.0008681135955861251
6,4,0.0020484738641894174
6,5,-9.180658110670665e-05
6,6,0.0005701216244766792
6,7,-0.00037081658555709326
6,8,0.0013958583530311944
6,9,0.0011420432367673682
7,-10,-0.0012662965912865437
7,-9,0.001246832151258684
7,-8,0.00042776114545123393
7,-7,0.00046043138590341477
7,-6,-0.0021911664315448364
7,-5,0.0008554984673400913
7,-4,0.0005498731277094112
7,-3,-0.0031928165124132193
7,-2,0.0019636372446282507
7,-1,0.0070101127469726545
7,0,-0.0037713747972228607
7,1,0.021181567922909816
7,2,-0.011726264320352325
7,3,0.002619433537743361
7,4,0.0026768024824242983
7,5,-0.0008021702722718572
7,6,-0.0005132300801331401
7,7,0.000909396897172065
7,8,0.001397207702043697
7,9,-0.001488968901266976
8,-10,0.0004209567379421001
8,-9,8.983797311450117e-05
8,-8,0.00048445493022083097
8,-7,-0.00035194756176927256
8,-6,-0.0011819540337928039
8,-5,0.001052652796418615
8,-4,-4.281193029588484e-05
8,-3,0.0012391342454279586
8,-2,-0.0017504046886770448
8,-1,0.0010531714799508196
8,0,5.466004041512873e-06
8,1,0.0024890783896298375
8,2,-0.002902917838322704
8,3,0.0013234747973280834
8,4,-0.0011355956201709848
8,5,-0.0008329924762867496
8,6,-0.0006072856474534454
8,7,0.0019225833842439436
8,8,0.0008345831533602533
8,9,-0.0009725694872315292
9,-10,0.0003966843339883482
9,-9,-0.0015191912520791035
9,-8,0.001276346505546527
9,-7,0.0018337637998572616
9,-6,-0.00035128956956831343
9,-5,1.1873329266782274e-05
9,-4,-0.000792408129861508
9,-3,-0.00042463332519042656
9,-2,0.0017457439515947586
9,-1,0.0034546484351656867
9,0,-0.0020565485412807278
9,1,0.006822234754770142
9,2,-0.0023584558426198708
9,3,-0.00266833248079688
9,4,0.0005682345161311696
9,5,-5.230265244887064e-05
9,6,-0.00011836065347923863
9,7,0.0016287533696672408
9,8,-0.00011932029899848076
9,9,-0.0005866364290992814
