n1,n2,coeff
-10,-10,0.007090784283287844
-10,-9,-0.0016021441071421886
-10,-8,0.0008438554516457923
-10,-7,0.0006419537640138049
-10,-6,-0.005926520582124842
-10,-5,-0.003117092713985281
-10,-4,0.0020030594719865546
-10,-3,0.007271296943321485
-10,-2,-0.001451661466906115
-10,-1,0.0007274557055879005
-10,0,0.30201207930182994
-10,1,0.009699414938497906
-10,2,-0.007479482118934034
-10,3,0.0040324658818164695
-10,4,0.0017757229786808397
-10,5,-0.008275716179586045
-10,6,-0.00043294877908611474
-10,7,-0.002150367971911043
-10,8,-0.001384276172735838
-10,9,-0.001664227471804149
-9,-10,0.008550625255973667
-9,-9,0.0010458446221076896
-9,-8,0.00031916194103030933
-9,-7,-0.0005586188562330824
-9,-6,-0.009200051658973028
-9,-5,-0.005277233728060369
-9,-4,0.00024286103006983993
-9,-3,0.0004594541918729291
-9,-2,0.0020395698655744886
-9,-1,-0.012842191335098563
-9,0,-1.697126086530177
-9,1,0.007556566640345145
-9,2,-0.006319957505577293
-9,3,-0.00465879947506525
-9,4,0.002419482334601548
-9,5,-0.005451342286359194
-9,6,-0.006953115071359418
-9,7,0.004474755502701622
-9,8,-0.005893819000592159
-9,9,-0.004467478227565213
-8,-10,0.003265429648634848
-8,-9,-0.0025368482690320787
-8,-8,-0.0044090236071050014
-8,-7,0.004596223276544702
-8,-6,-0.010239848017262514
-8,-5,-0.004407955848643958
-8,-4,-0.002832554890678631
-8,-3,-0.01194246365777099
-8,-2,0.002058346603208247
-8,-1,-0.008326066152354008
-8,0,-4.540062565091655
-8,1,0.002176231781957769
-8,2,-0.005568388680655674
-8,3,-0.00045080391532617217
-8,4,0.0017967894397153466
-8,5,-0.005896865948456723
-8,6,-0.004731978898259994
-8,7,0.006460280004076124
-8,8,-0.006333742322363655
-8,9,-0.0034499920057731665
-7,-10,0.0001409486366121429
-7,-9,-0.005644236387692414
-7,-8,-0.006354360091790751
-7,-7,0.004175950460355241
-7,-6,-0.009288407765827733
-7,-5,0.0017800377505532753
-7,-4,0.006518247324448782
-7,-3,-0.007356929501276487
-7,-2,0.004706237810547701
-7,-1,-0.005901826368235072
-7,0,0.11710095868030664
-7,1,0.008128652255347923
-7,2,-0.003498549716351544
-7,3,0.009041284065315161
-7,4,-0.000458216498591594
-7,5,0.0025188327463850444
-7,6,-0.0040616218681876325
-7,7,-0.0008140573051034769
-7,8,-0.005380512754559666
-7,9,0.007033040772233652
-6,-10,0.00017848598276759423
-6,-9,-0.00030811573024539326
-6,-8,-0.006216117202675109
-6,-7,0.0031890981693345685
-6,-6,-0.010130392685818175
-6,-5,-0.0007743594406140089
-6,-4,0.004956301023334626
-6,-3,-0.013635524796387003
-6,-2,0.009224194931247926
-6,-1,-0.016583175414343634
-6,0,-14.664838429581144
-6,1,-0.003922796385621493
-6,2,0.011313257162863324
-6,3,0.011737593561421433
-6,4,-0.005008521409048654
-6,5,0.004111166067463429
-6,6,-0.006245139940634311
-6,7,0.006107217197354231
-6,8,-0.011115486965960791
-6,9,0.00786989751663979
-5,-10,0.0034235041066365095
-5,-9,0.004497384805571195
-5,-8,-0.008031635778958542
-5,-7,0.00181218173200954
-5,-6,-0.004532347116772813
