n1,n2,coeff
-10,-10,0.0003735025166182772
-10,-9,0.0007748510202294247
-10,-8,-0.0008873969444912179
-10,-7,-0.00011333938372690772
-10,-6,0.002818705273789114
-10,-5,-0.004180928117736557
-10,-4,0.004428284559046633
-10,-3,-0.006756653221923893
-10,-2,0.005082848023536711
-10,-1,-0.0030012098192720386
-10,0,-0.00048072448282798243
-10,1,0.00817406862063944
-10,2,-0.004641585243119949
-10,3,0.0033746047036040602
-10,4,-0.0011541843022648602
-10,5,0.00020883545275262143
-10,6,0.0010967111066508813
-10,7,-0.0005249397694589227
-10,8,0.001972514468121934
-10,9,-0.0008776147844962258
-9,-10,-0.0005322959653343151
-9,-9,-0.0003839798263256627
-9,-8,-0.0004816179264349152
-9,-7,0.0003359667132389717
-9,-6,0.002279522005736751
-9,-5,-0.007486698290826989
-9,-4,0.013658032579366845
-9,-3,-0.019585640454435737
-9,-2,0.020079518717552182
-9,-1,-0.004403041877185522
-9,0,-0.0031088607803863087
-9,1,0.03369108076377136
-9,2,-0.02258087238193101
-9,3,0.005494056630845587
-9,4,0.00039123399838822816
-9,5,-0.004571073200653437
-9,6,0.004329019021439648
-9,7,-0.001621150625258424
-9,8,0.0031487605292011994
-9,9,-8.654078327488355e-05
-8,-10,0.00016029699346903432
-8,-9,-0.0010616074608443852
-8,-8,-0.0005514501311053159
-8,-7,0.0016586621090579664
-8,-6,-0.0007367432000947765
-8,-5,-0.004632972716975566
-8,-4,0.017613742746707912
-8,-3,-0.030613242993919924
-8,-2,0.03453624789616149
-8,-1,-0.01562667323850194
-8,0,-0.00044086874785919804
-8,1,0.025511654607212914
-8,2,-0.010172644781125648
-8,3,-0.0058850883642606305
-8,4,0.012630217683449088
-8,5,-0.011934285807650028
-8,6,0.006650505960547069
-8,7,-0.002827112746599824
-8,8,9.795755372333561e-05
-8,9,0.002210742719733756
-7,-10,0.00042026858644836194
-7,-9,0.000335730073500184
-7,-8,-0.00023077616291397913
-7,-7,0.004161988586541018
-7,-6,-0.004733459446632076
-7,-5,-0.002242074278069029
-7,-4,0.01741489772530511
-7,-3,-0.03479773961681117
-7,-2,0.04520922319123103
-7,-1,-0.029988938049742495
-7,0,0.006981669474112129
-7,1,-0.019607091526470555
-7,2,0.018258664779241245
-7,3,-0.02692724924921313
-7,4,0.028839547565027053
-7,5,-0.020677621135972556
-7,6,0.009001514624257186
-7,7,-0.0026640615906490034
-7,8,-0.0015493597306095157
-7,9,0.001430134942468829
-6,-10,-0.0004953106843165815
-6,-9,-0.00307161482704047
-6,-8,0.00040743640021603366
-6,-7,0.00931142253703743
-6,-6,-0.015402394030606049
-6,-5,0.013926525110679043
-6,-4,0.004728611040703314
-6,-3,-0.046075970417454315
-6,-2,0.07526831669745049
-6,-1,-0.036852032626880686
-6,0,-0.005179428897982731
-6,1,0.01597638276528967
-6,2,0.023042821183175424
-6,3,-0.057333539303651516
-6,4,0.05435395679023798
-6,5,-0.027455403648586507
-6,6,0.0066088763799865575
-6,7,0.0029523086955780525
-6,8,-0.004913651638756472
-6,9,0.0013888786507795833
-5,-10,-0.0007177979375152957
-5,-9,-0.0016522695368141574
-5,-8,0.000791967329504693
-5,-7,0.0015242983317844882
-5,-6,-0.01686920651213714
-5,-5,0.03748936670743443
-5,-4,-0.04232499558171023
-5,-3,0.023335868850519286
-5,-2,0.04641728182410431
-5,-1,-0.0682010061275936
-5,0,0.007329784212321442
-5,1,-0.15179774877401386
-5,2,0.16759216771272276
-5,3,-0.12283267650902499
-5,4,0.06542574861984689
-5,5,-0.015335618714264927
-5,6,-0.005733787010956228
-5,7,0.005904574708187132
-5,8,-0.003431812232936225
-5,9,-0.0005366549242961603
-4,-10,-0.0026338110238270365
-4,-9,0.0034316812064332665
-4,-8,0.004801464049207139
-4,-7,-0.007576762893345359
-4,-6,-0.004357977364467742
-4,-5,0.0496171745081521
-4,-4,-0.13443563332353523
-4,-3,0.22740285150880565
-4,-2,-0.17067020619755516
-4,-1,-0.007307731532120956
-4,0,0.026575952128303985
-4,1,-0.5872163131723488
-4,2,0.44592670602893275
-4,3,-0.17131757504695097
-4,4,0.03084747295608599
-4,5,0.024413964183742917
-4,6,-0.01700512370618468
-4,7,0.0027944525338829446
-4,8,0.002009423146161911
-4,9,-0.0020637076026514332
-3,-10,-0.004200362565082546
-3,-9,0.006837044934826857
-3,-8,-0.00121423229814834
-3,-7,-0.008626338664724825
-3,-6,0.02832367721410379
-3,-5,0.0002473907817820175
-3,-4,-0.1746780384917061
-3,-3,0.6443086133112657
-3,-2,-1.0416311468856698
-3,-1,0.26027596577131856
-3,0,0.297696563530965
-3,1,-2.050478240556588
-3,2,0.902950979855229
-3,3,0.06785485274050111
-3,4,-0.13315902871749324
-3,5,0.07626376419643198
-3,6,0.0012754513328350446
-3,7,-0.01652031316953915
-3,8,0.004018860816634535
-3,9,0.0010368584058210054
-2,-10,-0.003077007185389148
-2,-9,0.012224688105508185
-2,-8,-0.016436948172628543
-2,-7,0.011368050708466583
-2,-6,0.03517414605642085
-2,-5,-0.07790639582481815
-2,-4,-0.05947544449896395
-2,-3,0.8497967711760641
-2,-2,-1.8363561584977217
-2,-1,0.43994909337434346
-2,0,0.7441141801403299
-2,1,-2.779787776664589
-2,2,0.7023203451620695
-2,3,0.6363514097251405
-2,4,-0.35218221640788316
-2,5,0.09025898142557294
-2,6,0.03708480561308319
