phi1,phi2,g11,g22,g12,g21
0,0,278.0986296553168,278.277277942987,-1.6518955687292718,-1.6416284250367026
0,1,278.07343750841966,285.61662961721294,-2.000817212370503,-2.0027318900231252
0,2,278.1212271940085,362.4214966760288,-1.7373314758471832,-1.7337533747789378
0,3,278.1231874043842,399.3432656028688,-1.261723174121066,-1.2584151680993325
0,4,278.16623843166605,426.13324114231744,-0.879334063741335,-0.8820403220284387
0,5,278.0356381272289,461.99426176049667,-0.6867443879361875,-0.6865363103004753
0,6,278.0730801028928,454.05097271950325,-0.25030889481949137,-0.2662317395818219
0,7,278.11562578088996,412.10613019337654,0.5626427202108855,0.5559917936092108
0,8,278.08304886264125,427.99839351624354,1.5812956419886541,1.5742230946959082
0,9,278.0046110741634,374.13813430987966,2.380382828322638,2.3976111951275794
0,10,277.936394794329,262.83797313765865,2.44292687896429,2.43965319307279
0,11,278.2553316223975,237.2550266734727,1.8072516737095674,1.7838176645436172
0,12,278.28852150639557,358.2974169814338,1.4742159747814043,1.4652855075985265
0,13,278.20336153950336,608.7196494498595,1.3232584171097352,1.3224421027773938
0,14,278.3834065939544,841.9428693405793,0.16758949263279643,0.17506589681528487
0,15,278.3897551363805,918.7797371159094,-1.6099606848508101,-1.6001699758239716
0,16,278.2669153445317,873.9819579520437,-2.1623610110061504,-2.1615776044815798
0,17,278.06084398855785,773.3308864928397,-1.1039381225754208,-1.0964905207763407
0,18,278.1278557116289,659.6460265014994,-0.11641114792466052,-0.11680547973902212
0,19,278.0993107016512,467.88861658040986,-0.5948866296466258,-0.5880557111191407
1,0,285.41277247840736,278.23398046848547,-1.6537060194020565,-1.645371722529044
1,1,285.41088770564113,285.56752706019313,-2.029579981042048,-2.0295633257079944
1,2,285.4459557332985,362.4072117413813,-1.7568225121122203,-1.7559972790497196
1,3,285.47461536608967,399.3503069224177,-1.2548803717077197,-1.2539688678303917
1,4,285.336857530228,426.1024915663672,-0.8639048732847747,-0.8518702465694937
1,5,285.4150707148756,461.9727060838574,-0.6594573935404087,-0.6417716087389336
1,6,285.4288236151857,454.0126762483931,-0.1816821673254152,-0.19277036433829062
1,7,285.37184495206174,412.03037821132665,0.7875744748171527,0.790555963696998
1,8,285.55531130503385,428.01442048970614,2.1032923529213745,2.089525057753254
1,9,285.4073086547054,374.0809382366374,3.1805322129243137,3.1831217946115196
1,10,285.62940624037776,262.8292301898783,3.2823026346213515,3.267688483605273
1,11,285.6875192685941,237.225270685732,2.4400529697171383,2.4216836666279997
1,12,285.77236408255743,358.28676772012165,2.0050034669371746,2.0058527931048773
1,13,285.83552064651104,608.6994354876813,1.7749343767060135,1.7843178258291155
1,14,285.9147802526886,841.7578307886668,0.23116447937229315,0.23368033356775514
1,15,285.7552939308728,918.848392563545,-2.040126300421781,-2.021671050716089
1,16,285.5828840475765,874.016685566779,-2.6251362593626624,-2.616041059094325
1,17,285.6353672074416,773.1951629910255,-1.3532048987831196,-1.3393327047877632
1,18,285.57169630752605,659.6527273240978,-0.25526116518306285,-0.26168856127960555
1,19,285.3731308803278,467.9105519300171,-0.6524498384678898,-0.6612960515169464
2,0,361.93698820532654,278.17521848750806,-1.3112589178269989,-1.3047942626217044
2,1,361.8872883961316,285.60346038751646,-1.6292925525784205,-1.657177499544381
2,2,361.9367337148774,362.39194756237185,-1.4470501450204565,-1.4726198709423997
2,3,362.00541530477847,399.32854769629967,-1.0484724629257083,-1.0557497175653299
2,4,361.9280788394711,426.071116029878,-0.7146425410870801,-0.7170225906293738
2,5,361.9678210821135,462.00251218461983,-0.551282737941336,-0.532350764230478
2,6,362.05089164956144,453.9481522596351,-0.10141352932449554,-0.12269870584837196
2,7,362.04631132269003,412.15166066064614,0.8920334183039516,0.8963280175524319
2,8,362.03477774802445,428.03033019096995,2.3277032463724963,2.3215238891937737
2,9,362.0789483583297,374.13736429815714,3.6027866176092815,3.574808398483493
2,10,362.280563195373,262.8391407674547,3.784371971188062,3.768752093709377
2,11,362.4432775010261,237.26355073301156,2.8357845937325155,2.866202671277733
2,12,362.42625834621157,358.2969862680475,2.382078680674996,2.4010921035907224
2,13,362.551772355436,608.7212453151845,2.2033529650917183,2.187262594733574
2,14,362.54911547405806,841.777010520347,0.5707641325179306,0.578249740496877
2,15,362.41473974412366,918.9099633710537,-1.5674502167124156,-1.5918525623184594
2,16,362.2440882398081,874.0141353217335,-1.9942061007790857,-1.9790471588201515
2,17,362.1072590839996,773.2876132622187,-0.9378433179994877,-0.9517887537353237
2,18,362.02016436510377,659.6413083481798,-0.1874243789861255,-0.15685968283782029
2,19,362.0122353788947,467.8897388993087,-0.5461184608620057,-0.5425715275800422
3,0,399.38718601223263,278.22479108681864,-0.43469092565624645,-0.42547962822484736
3,1,399.39096462954006,285.5492880386343,-0.6080303290136991,-0.611479708313616
3,2,399.3906626386479,362.4791487380503,-0.6783579173667464,-0.6617662781601009
3,3,399.420115531109,399.36690193084365,-0.571619653000564,-0.5789458656525598
3,4,399.5322401180229,426.11445568607513,-0.4087315363916949,-0.43660330975399625
3,5,399.5295997717524,461.9669320805247,-0.3727488608642378,-0.34993525009752147
3,6,399.56463609588906,454.05799923853135,-0.1161396412699617,-0.12335603550729317
