n1,n2,coeff
-10,-10,0.0005668083013926583
-10,-9,-0.0003903159567257967
-10,-8,0.0002801640845189677
-10,-7,0.000531475111997358
-10,-6,-0.00037154324741431734
-10,-5,-0.0004067323662243763
-10,-4,-2.69853393198139e-05
-10,-3,-0.0006405590148796373
-10,-2,-0.002889109012268087
-10,-1,0.001381943724607483
-10,0,0.0012681844293147542
-10,1,-0.004121899875278293
-10,2,0.0011186306213814372
-10,3,0.0014476978324147365
-10,4,0.0001440679321756557
-10,5,-0.0008606781255259403
-10,6,0.0014077363520147601
-10,7,-0.0006862861003973036
-10,8,-0.0005967768243562315
-10,9,0.0005807032734739518
-9,-10,-0.00013286460575129245
-9,-9,0.0003903137311125662
-9,-8,-0.00014418287327578697
-9,-7,-0.0012990274805088921
-9,-6,0.0005226922636541045
-9,-5,-0.0016744723092427481
-9,-4,-0.0003551335414217723
-9,-3,0.0005208426324809179
-9,-2,0.0027783649637191043
-9,-1,-0.000524382176342933
-9,0,-0.002214886345236192
-9,1,0.004387173770286531
-9,2,-0.0017759019104098353
-9,3,-0.0017112718733348533
-9,4,-0.0009662745220086781
-9,5,0.00019011495696704328
-9,6,0.0008060161171319207
-9,7,0.0003409139028637851
-9,8,0.0006656992386727043
-9,9,0.00033219730880475066
-8,-10,0.00037635935817041346
-8,-9,-0.0005457771298926179
-8,-8,0.0009409672459094727
-8,-7,0.000323939265998228
-8,-6,-0.0005267780148411356
-8,-5,0.0010490777915695105
-8,-4,-0.002026010620792835
-8,-3,-0.00018808885689208116
-8,-2,0.005247004700991849
-8,-1,-0.0027716046367799543
-8,0,-0.0034964499162852664
-8,1,0.0055313552233856676
-8,2,-0.00030433848548354553
-8,3,-0.0032046352421134573
-8,4,0.0003563665007049246
-8,5,0.00045173995432457503
-8,6,-0.0015775696941419904
-8,7,0.0003071258195926312
-8,8,0.00044781445993060005
-8,9,-0.0015477566541615773
-7,-10,-0.0003863151628417572
-7,-9,-0.0006593572834864834
-7,-8,0.0007521858425368988
-7,-7,0.0006603412431779867
-7,-6,-0.000749570205466584
-7,-5,0.0010595012718399527
-7,-4,0.002414869537874378
-7,-3,-0.0017655872504494532
-7,-2,-0.006078934860221709
-7,-1,-0.0019978685520669146
-7,0,0.0052173215517239595
-7,1,-0.011549101412834665
-7,2,0.0007406659591008381
-7,3,0.0031460521006923766
-7,4,0.0007668610727213726
-7,5,-0.0005811737504101235
-7,6,-0.00018861272482667267
-7,7,0.0005632677856691634
-7,8,-0.0011421273266385861
-7,9,0.00012178131662861386
-6,-10,0.0015633538316737296
-6,-9,-0.0017335830894989566
-6,-8,-0.0008955364517548338
-6,-7,0.0036859246557871695
-6,-6,-0.001298999921921235
-6,-5,-0.004461312525834437
-6,-4,0.00212240574354211
-6,-3,0.0056036906708013725
-6,-2,0.0012248621089219855
-6,-1,-0.015248313424208387
-6,0,-0.00459237842228327
-6,1,0.0031472287641030766
-6,2,0.0028931569322503984
-6,3,0.0021810032157396696
-6,4,-0.007903861049529719
-6,5,-0.0013095423289771475
-6,6,0.0013943060593859663
-6,7,-0.0003801278740141242
-6,8,0.0007637060204835629
-6,9,-0.0003960464537615729
-5,-10,0.00010571866483091523
-5,-9,-0.00016978450857819388
-5,-8,-0.0019003027986834891
-5,-7,0.0019867559999201946
-5,-6,0.005312312839027503
-5,-5,-0.011459691724629855
-5,-4,-0.013072927696852907
-5,-3,0.043723244043096354
-5,-2,0.009055748470614106
-5,-1,-0.05610967615097676
-5,0,-0.005344300274810936
-5,1,-0.015687072680356164
-5,2,0.05780110475929755
-5,3,-0.016247389839549643
-5,4,-0.026106565808323795
-5,5,0.00899688355932744
-5,6,0.005331797133035981
-5,7,-0.0034788413073303494
-5,8,-0.002629182248804889
-5,9,0.001821803428769964
-4,-10,-0.0007314665945146642
-4,-9,0.0004373493841186946
-4,-8,0.0014745967395875168
-4,-7,-0.0032452806882967374
-4,-6,0.0061845224130690265
-4,-5,0.00978662713471048
-4,-4,-0.02406890992806599
-4,-3,-0.03043106781010818
-4,-2,0.18524836782241114
-4,-1,-0.08410843009652656
-4,0,-0.04389159081698113
-4,1,0.28372855852787787
-4,2,-0.029311379208416616
-4,3,-0.057399748864819286
-4,4,0.000714907938158811
-4,5,0.020596567175771456
-4,6,-0.007911612781491622
-4,7,-0.002305436001660642
-4,8,0.0003455039285458488
-4,9,-0.0003623110931904404
-3,-10,-0.0008301453645378296
-3,-9,0.001235249416465207
-3,-8,0.001832590750546162
-3,-7,0.0035259927341327528
-3,-6,-0.008020053789117366
-3,-5,0.031480305683106495
-3,-4,0.05369072613153242
-3,-3,-0.02192621092986128
-3,-2,-0.22515616628238316
-3,-1,0.278688804256087
-3,0,0.1289184899372151
-3,1,-0.256817993595532
-3,2,-0.0027934577717286953
-3,3,0.10374380157484699
-3,4,0.08596956002922211
-3,5,-0.024634912089567307
-3,6,-0.004701727008483088
-3,7,0.002814490340842348
-3,8,0.0008360336959969725
-3,9,-3.600236785523455e-05
-2,-10,0.0006968584269313861
-2,-9,-0.0004229953517803405
-2,-8,0.0003147922902232013
-2,-7,0.00842370949827283
-2,-6,-0.014351676669040853
-2,-5,-0.0029587362222241185
-2,-4,0.0899026492524106
-2,-3,0.1211137774769268
-2,-2,-0.8322997485707901
-2,-1,0.5535546454924546
-2,0,0.274827875229989
-2,1,-1.2511194747517544
-2,2,0.1809392355354931
-2,3,0.25744900389925285
-2,4,0.054963773642181746
-2,5,-0.05878629888649927
-2,6,0.021869149741032635
-2,7,-0.0018792106689741765
-2,8,-0.0025248723844202617
-2,9,0.0027778430849546686
-1,-10,-6.291544544406067e-05
-1,-9,0.0005106720084318249
-1,-8,0.002672360937935814
-1,-7,-0.02716770055928698
-1,-6,0.02926424356372887
-1,-5,-0.0607144044315387
-1,-4,-0.22198489858749984
-1,-3,-0.33741362133937836
-1,-2,1.6926300235360126
-1,-1,-1.487976842987966
-1,0,-0.4870666596525559
-1,1,2.1587201912957386
-1,2,-0.5232178771279874
-1,3,-0.5314742363320767
-1,4,-0.2327138119908892
-1,5,0.1312521270077214
-1,6,-0.03040732281777924
-1,7,0.012631543524961526
-1,8,0.008620655783825652
-1,9,-0.006498357783625231
0,-10,0.0017178824003201197
0,-9,-0.00022338173862095908
0,-8,-0.0052721501977576945
0,-7,0.003684963249332526
0,-6,0.013107057597850953
0,-5,-0.0779268358200135
0,-4,-0.05237028674914103
0,-3,0.23915550941637376
0,-2,-0.1667099718428697
0,-1,-0.32082239847346095
0,0,0.04496553886860757
0,1,-0.5673098264499222
0,2,0.33616468962233026
0,3,-0.039624490015482974
0,4,-0.15446635123200533
0,5,0.011638125768918997
0,6,0.034438246179078535
0,7,-0.0071482757543515265
0,8,-0.001257482972714348
0,9,0.0022062940408389357
1,-10,-0.0009915396162514798
1,-9,-0.001040985756146189
1,-8,0.011500934461212324
1,-7,0.00491969637195675
1,-6,-0.019079057056967188
1,-5,0.10804774682900554
1,-4,0.36480116496522674
1,-3,-0.08931993627619769
1,-2,-1.514318789451182
1,-1,0.844154806486652
1,0,1.3029379671416765
1,1,-2.7170526816724174
1,2,0.1924510889717449
1,3,0.7800041197019821
1,4,0.3022401825503023
1,5,-0.09771282977574168
1,6,-0.01859085100524579
1,7,0.0073613666116335835
1,8,-0.0069490909117536585
1,9,-0.00010072742071638125
2,-10,-0.0005334195632976312
2,-9,0.002011656760474944
2,-8,-0.0019406126809013346
2,-7,-0.017199394616084305
2,-6,0.03411506617321832
2,-5,0.044188689373058476
2,-4,-0.10824251544798928
2,-3,-0.17781817854512644
2,-2,0.7104822927232667
2,-1,-0.17167266274587065
2,0,-0.24523591562973185
2,1,1.1384757882478325
2,2,-0.21724685651554562
2,3,-0.2540934578989191
2,4,0.04007951327452639
2,5,0.08092996971894986
2,6,-0.037431138065941075
2,7,-0.009236668426420248
2,8,0.007602581427503332
2,9,-0.002042570938601629
3,-10,-2.720517910747504e-05
3,-9,-3.405435339143022e-05
3,-8,-0.006590035974227175
3,-7,0.007531037932766827
3,-6,0.013788180133592709
3,-5,-0.043199897736355825
3,-4,-0.06537773101406111
3,-3,0.15971737388632068
3,-2,0.05874669477836091
3,-1,-0.11641704805362466
3,0,-0.14543620704393956
3,1,0.09369524097529422
3,2,0.1756306863448148
3,3,-0.09659246574435902
3,4,-0.0959347307278949
3,5,0.019767929701555855
3,6,0.02367878452583726
3,7,-0.01159717552180733
3,8,-0.0028273879776474376
3,9,0.002998127224878806
4,-10,-0.00021870387215183477
4,-9,0.000369567890635754
4,-8,0.00025236466434916947
4,-7,0.0005020877745243669
4,-6,-0.0007548869231841095
4,-5,-0.022733467812446968
4,-4,-0.017725943042545246
4,-3,-0.021255921356648097
4,-2,0.22100334864633034
4,-1,-0.2797471549269364
4,0,-0.03898539713987801
4,1,0.23841917255525297
4,2,-0.03651852928137635
4,3,-0.05795054614120294
4,4,-0.0552376175158128
4,5,0.01288026689978898
4,6,0.0022532587371551587
4,7,0.002427871702275807
4,8,-0.0021657131641924774
4,9,-0.0008075582589822451
5,-10,-0.0003275830651043939
5,-9,0.0003404111529516717
5,-8,-0.0007570305864080639
5,-7,-0.0005254291625587424
5,-6,4.406209899146307e-05
