n1,n2,coeff
-10,-10,-0.002079499492758428
-10,-9,-0.0034423907146705294
-10,-8,0.0017687371854601837
-10,-7,0.0035977625319068445
-10,-6,-0.004839952078175231
-10,-5,-0.008657899153258375
-10,-4,-0.00519541947594029
-10,-3,7.290538675265614e-05
-10,-2,0.0033765974363084194
-10,-1,3.4930797895136205e-05
-10,0,0.0003559123176952467
-10,1,-0.0027345123994603525
-10,2,-0.0008917120698944924
-10,3,0.0023539450424478105
-10,4,-0.0011505294131014525
-10,5,-0.0030220407715336605
-10,6,-0.00454511856444505
-10,7,-0.005216207803477649
-10,8,0.004856513079657811
-10,9,0.0032791336493003657
-9,-10,-0.0006610423382889733
-9,-9,-0.0016512415149113728
-9,-8,-0.0009421490431500438
-9,-7,-0.001455240624774146
-9,-6,0.010116628360082768
-9,-5,0.00859859979197052
-9,-4,0.002437796640300514
-9,-3,0.0020357954603714102
-9,-2,-0.0018917306568651735
-9,-1,-0.002574669964215221
-9,0,0.002408213188068101
-9,1,0.0032046825324719684
-9,2,0.0014813626096505511
-9,3,0.0019157680512626842
-9,4,0.0021380344560540756
-9,5,-0.002048105635718122
-9,6,-0.0007190961339617205
-9,7,-0.00688714084914213
-9,8,-0.001837926797390404
-9,9,-0.009463074514215672
-8,-10,0.002634701566879273
-8,-9,0.005144231494776443
-8,-8,-0.0008082346986952232
-8,-7,0.007201601105591435
-8,-6,0.0033098558626419336
-8,-5,-3.998667804180026e-05
-8,-4,0.0005494396506558324
-8,-3,-0.00036414429041683
-8,-2,-0.0035088913115999326
-8,-1,-0.0037903063062955746
-8,0,-0.002072179050660074
-8,1,-0.005694214068216693
-8,2,-0.0006593402334250171
-8,3,0.002166083108916604
-8,4,0.0064467851204009835
-8,5,0.010386078797416709
-8,6,-0.0016525265776250093
-8,7,0.003061438699952466
-8,8,0.005621525734210483
-8,9,0.0029469489784214897
-7,-10,0.0020004021652207877
-7,-9,-0.005721869294076728
-7,-8,-0.006918534469525509
-7,-7,-0.006003523582189195
-7,-6,-0.006851485942219425
-7,-5,0.006062133284429589
-7,-4,0.012049290466699426
-7,-3,0.008726842472637915
-7,-2,-0.003438340395393031
-7,-1,-6.343497953140586e-05
-7,0,-0.0026347457636013796
-7,1,0.0012054335538451348
-7,2,0.0034949988506203355
-7,3,-0.004297328154227197
-7,4,0.0020876878005825295
-7,5,0.0003290952935145745
-7,6,-0.00642426052658094
-7,7,-0.0012708496759016228
-7,8,-0.011144410437668752
-7,9,0.0007397087326528176
-6,-10,0.0018336198356061493
-6,-9,-0.001303105107188327
-6,-8,-0.0009965428264033886
-6,-7,0.0062666079521970465
-6,-6,0.0061987259075178035
-6,-5,0.0056452079877663975
-6,-4,0.0033237992680818355
-6,-3,-0.0010515409832652731
-6,-2,-0.0037468713127683457
-6,-1,0.004344021741218121
-6,0,0.007432699838451257
-6,1,-0.004260311247642887
-6,2,-0.008310478677546656
-6,3,0.000751022611492727
-6,4,-0.00790255190649356
-6,5,2.5837745648595467e-05
-6,6,0.00769115153595188
-6,7,0.002094701983535918
-6,8,0.002209989060431463
-6,9,0.0067741512470550005
-5,-10,-0.005009351389590112
-5,-9,-0.009959324932133022
-5,-8,-0.01680862880432846
-5,-7,-0.015030357708852679
-5,-6,-0.012320403836744587
-5,-5,-0.006563813923126262
-5,-4,0.0015141941208030494
-5,-3,-0.0015147965532073904
-5,-2,-0.0035936171829214023
-5,-1,-0.004644492645521653
-5,0,-0.0043343434473869565
-5,1,-0.0039034903501973858
-5,2,-0.005762061028371573
-5,3,-0.002659191300838091
-5,4,0.003111026977687789
-5,5,0.006180365372138579
-5,6,0.0026868165746215113
-5,7,-0.005324751578724483
-5,8,-0.005247804699449312
-5,9,-0.0037122975056894884
-4,-10,0.002328458938285631
-4,-9,0.0038633773916425516
-4,-8,0.017235785436721513
-4,-7,0.006302145192787632
-4,-6,0.005689426125797488
-4,-5,0.003501845411286739
-4,-4,0.0028654117640857686
-4,-3,-0.0012166971540624547
-4,-2,0.008570238275671709
-4,-1,0.0034621161452843027
-4,0,0.0027500351748655097
-4,1,0.016944040554264676
-4,2,0.010326965187464949
-4,3,0.0007209708738032896
-4,4,0.0013410959159399368
-4,5,0.0009691866014861886
-4,6,0.002706152511502076
-4,7,0.001441168074606758
-4,8,0.004980184022262094
-4,9,0.0006886337025316931
-3,-10,-0.007838685069545244
-3,-9,-0.0008833877262574489
-3,-8,0.0028948134350141996
-3,-7,0.00047879221380791735
-3,-6,0.0054626451759503085
-3,-5,-0.0008716398225678205
-3,-4,-0.006426407051306985
-3,-3,-0.004686658868844986
-3,-2,0.0034741300929573738
-3,-1,0.003923703270795056
-3,0,-0.00018594377635157674
-3,1,0.007634526586622455
-3,2,0.0027596061023998707
-3,3,0.00522775612485817
-3,4,-0.0003903079875773722
-3,5,-0.001976693852740517
-3,6,-0.00807469719019373
-3,7,-0.007934969341726333
-3,8,-0.0021909729107374553
-3,9,0.003771891540776074
-2,-10,0.005296808298022776
-2,-9,-0.003338933296882742
-2,-8,-0.004141479452840838
-2,-7,-0.017396997209707273
-2,-6,-0.013842329026900281
-2,-5,0.002205284632132393
-2,-4,0.0017515187333406405
-2,-3,0.006184772266439195
-2,-2,0.005020430098624237
-2,-1,-0.005231538723276328
-2,0,-0.007028274969724454
-2,1,-0.0015256015297232623
-2,2,-0.003002193122860056
-2,3,-0.01058677776423131
-2,4,0.003837508549238196
-2,5,0.0015292156986595712
-2,6,-0.0028699131099730814
-2,7,-0.0015965469453300487
-2,8,-0.0036367292057260057
-2,9,-0.0029631242945320512
-1,-10,0.00471625756000678
-1,-9,0.00742916774486615
-1,-8,0.0036191737326264116
-1,-7,0.007660716713341702
-1,-6,0.003949959566611204
-1,-5,0.0027518191444425547
-1,-4,0.015370795233877339
-1,-3,0.012996476204408781
-1,-2,-0.0025186770919992355
-1,-1,-0.0051174820698604235
-1,0,-0.00031297295678072486
-1,1,-0.0011062096297556317
-1,2,-0.0005820170824520128
-1,3,-0.009249168072311754
-1,4,-0.0027445949379551744
-1,5,0.004000364789269838
-1,6,0.005605124722846123
-1,7,0.007102737224437193
-1,8,0.001659489142178102
-1,9,0.0035168009058795806
0,-10,0.3198953412396072
0,-9,-1.6969575845142633
0,-8,-4.595572694006438
0,-7,0.02488117645217051
0,-6,-14.761643367407453
0,-5,-21.61820036703996
0,-4,-9.173237458165278
0,-3,-12.174304887180197
0,-2,-195.4812021640235
0,-1,43.15597631693943
0,0,494.14345976864064
0,1,-186.04512857610612
0,2,-74.0504115962598
0,3,51.753611618031755
0,4,-35.812326935536916
0,5,6.812838998319282
0,6,-4.121085042520479
0,7,-3.118130821431563
0,8,2.8200716471042933
0,9,-0.3634860343423033
1,-10,0.003422532845625604
1,-9,0.012396865429419335
1,-8,0.016312546275433548
1,-7,0.006310567420271998
1,-6,0.008255732085263692
1,-5,0.008902811065651696
1,-4,0.0232444260470652
1,-3,0.014206222987277016
1,-2,0.002307575834105046
1,-1,0.00713268149003182
1,0,0.0017122931829169036
1,1,-0.00577096463967941
1,2,0.015649460349706865
1,3,-0.004842183957543322
1,4,0.007049589622651105
1,5,-0.0071821464420124236
1,6,-0.0057626459105628745
1,7,0.003443722386879228
1,8,-0.008079854033100358
1,9,0.01846340274994693
2,-10,-0.006913106678078878
2,-9,-0.00768246439331248
2,-8,-0.012106769822042266
2,-7,-0.012383660045851752
2,-6,-0.004913068580940645
2,-5,-0.00690516394874798
2,-4,0.00012214022014592966
2,-3,0.002335906899666313
2,-2,-0.018391371125127492
2,-1,-0.010623636272300062
2,0,0.0004187852997852646
2,1,-0.002184218691614435
2,2,0.001391508088194385
2,3,-0.003926509802819851
2,4,0.001407106090762511
2,5,0.006832937677290645
2,6,-0.005033350799593036
2,7,-0.00739475975884607
2,8,-0.0007181443366630777
2,9,-0.002474597447543613
3,-10,-0.0018400722919742925
3,-9,0.014423514878035414
3,-8,0.020479992413643837
3,-7,0.010682344089622924
3,-6,0.008098830042567517
3,-5,0.005672421743807741
3,-4,9.833556073564247e-05
3,-3,-0.006512742976766985
3,-2,0.012550922697926742
3,-1,0.002781264681542356
3,0,-0.007091174524649921
3,1,0.004980349146386767
3,2,-0.010984004702081334
3,3,0.0014130872835083992
3,4,0.007095338628833387
3,5,0.00859411269177477
3,6,0.0049629894630556
3,7,0.0052992722633385956
3,8,0.0038245449093941824
3,9,-0.003875597124932417
4,-10,0.0006768526361083249
4,-9,-0.00675848528978939
4,-8,-0.014914870393467705
4,-7,-0.019989489071367036
4,-6,-0.014215877029967471
4,-5,0.0006764685746553879
4,-4,0.003691536055174685
4,-3,-0.010144419654199302
4,-2,-0.006979432664584283
4,-1,-0.005513127658827212
4,0,-0.008451328246740462
4,1,-0.004916816561997588
4,2,-0.0034023081840710745
4,3,-0.004532028826373132
4,4,0.0019249527499163365
4,5,-0.00538870286958856
4,6,-0.0039945608296041235
4,7,-0.003868486689461028
4,8,-0.0010060523246012997
4,9,-0.003886247244160358
5,-10,-0.0002521921975195812
5,-9,0.006800642501733621
5,-8,-0.001380658345857532
5,-7,0.0007963854049675476
5,-6,-0.0006613567517321485
5,-5,0.0004370851277176856
5,-4,-0.0014938651956893816
5,-3,0.005187345251175872
5,-2,0.00265234482365633
5,-1,0.0010094912783187328
5,0,0.0008735504883487139
5,1,-0.0029296430539840464
5,2,-0.010916245934632782
5,3,-0.008300569928108938
5,4,-0.003258511468442076
5,5,0.01274566673477478
5,6,0.00019973699427784932
5,7,0.0017000428869733037
5,8,0.008252455422735916
5,9,-0.0019612903481621468
6,-10,0.0015678681567959098
6,-9,-0.0008390957452701575
6,-8,0.004692232188473528
6,-7,0.005441952935137837
6,-6,0.00263337202907082
6,-5,0.0027695398875554784
6,-4,0.003632491303472733
6,-3,0.013425859652908994
6,-2,0.00615052973989975
6,-1,0.005541500345815251
6,0,-0.0012139208301951373
6,1,0.005002916086291492
6,2,0.008850071817535173
6,3,0.006105361314739033
6,4,0.0026223996943340413
6,5,0.0009635452909699831
6,6,0.00043102814982042144
6,7,0.0008662249708260602
6,8,-0.007240686154182216
6,9,-0.0037907032421799023
7,-10,0.0002508041147551522
7,-9,0.005487982545092081
7,-8,0.001122534256485284
7,-7,-0.0037899584265606665
7,-6,0.002274818386884506
7,-5,0.008826816336436956
7,-4,-0.0005404488113933907
7,-3,-0.0025143101937013627
7,-2,0.003700144805739745
7,-1,-0.0033335779304459233
7,0,-0.004321987198317114
