n1,n2,coeff
-4,-4,0.12583145550660563
-4,-3,-0.2919549923283462
-4,-2,0.49347382772534654
-4,-1,-0.3008494606218578
-4,0,-0.12445326127862133
-4,1,-0.3126876771314806
-4,2,0.18922716529372424
-4,3,-0.088583822766364
-4,4,-0.01990905979905444
-3,-4,0.14834147033153788
-3,-3,-0.1864344997432429
-3,-2,0.2205234741298684
-3,-1,-0.36385135730907603
-3,0,-0.0294836631329628
-3,1,-1.9502400435966647
-3,2,0.9449215310842549
-3,3,-0.22463514138706964
-3,4,-0.0038445979251489903
-2,-4,0.06314730418593806
-2,-3,0.415883915295889
-2,-2,-0.8951839869529717
-2,-1,-0.48882226380044236
-2,0,0.7112021406861675
-2,1,-4.507790628329367
-2,2,2.113779497927769
-2,3,-0.24848874821018135
-2,4,-0.05710599275034067
-1,-4,-0.13138553130916758
-1,-3,0.36476067080481744
-1,-2,-0.2596310550895354
-1,-1,-0.631163541476903
-1,0,0.8630695269244553
-1,1,0.4799909728642061
-1,2,0.12158788148671643
-1,3,-0.10923790289975277
-1,4,-0.0004498721984440568
0,-4,-0.060368729930060094
0,-3,-0.23300040779265307
0,-2,0.6936854881604785
0,-1,-0.19284968782437162
0,0,-0.00302823198209512
0,1,3.1472586257642976
0,2,-1.2724233649772736
0,3,0.03693500899027283
0,4,0.060609519998920725
1,-4,0.39587802061745725
1,-3,0.2871088975782563
1,-2,-0.6361958833367335
1,-1,-2.866609357544321
1,0,1.6260099598181716
1,1,-13.295492135408342
1,2,5.896097287592617
1,3,-0.3454166774523174
1,4,-0.6814151867296045
2,-4,0.30442017575448
2,-3,-0.6013398127139513
2,-2,1.0198605418863735
2,-1,-1.125942387932767
2,0,-0.082071071475205
2,1,-3.2134582527445414
2,2,1.4925135825895244
2,3,-0.22181783117822484
2,4,-0.20507192709773947
3,-4,0.1372882516476172
3,-3,-0.5150711094783509
3,-2,0.9575250687526194
3,-1,-0.3421348652687428
3,0,-0.2927875918474451
3,1,0.9203714493771012
3,2,-0.37864866075749126
3,3,0.01448225966702843
3,4,-0.06552940061817339
4,-4,0.015206821675944782
4,-3,-0.07794505733588764
4,-2,0.22773887079393956
4,-1,-0.27847955705265914
4,0,0.1220096543171455
4,1,0.3000287501310892
4,2,-0.14749148873108275
4,3,0.10367933673549024
4,4,-0.10063698224811737
