n1,n2,coeff
-10,-10,0.0006461686342626739
-10,-9,-0.00047798551419324945
-10,-8,-0.00016304819826271915
-10,-7,-0.0005522651486657466
-10,-6,-5.6528801338939423e-05
-10,-5,0.0015322740714497362
-10,-4,0.0008485725636508699
-10,-3,-0.0011819447927828373
-10,-2,-0.0007727371277853361
-10,-1,0.0008117137847381916
-10,0,7.908522547851024e-05
-10,1,-0.0009030727057154672
-10,2,-1.7921351833785562e-05
-10,3,0.001436365179591709
-10,4,0.0006806831305955938
-10,5,-0.0003192967940120347
-10,6,-0.00024784403189781587
-10,7,-0.0014321446847953992
-10,8,0.00023182018561905657
-10,9,0.0013626475159295762
-9,-10,8.242867539749351e-05
-9,-9,5.652882883694411e-05
-9,-8,0.00020726450967057506
-9,-7,-0.000285685211441796
-9,-6,-0.0009546319275565079
-9,-5,0.0004591648049130365
-9,-4,0.0007644562516237383
-9,-3,0.0005970730539360658
-9,-2,0.0008749587962863949
-9,-1,0.00024268430600128002
-9,0,-0.0002626302517793386
-9,1,-0.0013477871430425826
-9,2,5.968838397334461e-06
-9,3,-0.0011940651563002544
-9,4,-0.00012295084200371172
-9,5,0.0015413137852886268
-9,6,-0.00041603618314074205
-9,7,-0.0008785314087499469
-9,8,0.0012274082262463417
-9,9,-0.00090329574232052
-8,-10,-0.0008714428016791182
-8,-9,-7.570566445939778e-05
-8,-8,-0.0013551500500279489
-8,-7,-0.0009181065350168696
-8,-6,0.001245801402205374
-8,-5,-0.0001350217139083784
-8,-4,-0.0010361849845990318
-8,-3,-0.00013491344638049898
-8,-2,0.00023724586886290867
-8,-1,-0.0001323315374263451
-8,0,-2.4433095149952067e-05
-8,1,0.0025218318889090987
-8,2,-0.0010042255829303716
-8,3,-0.0011990815838225713
-8,4,0.0009296797855064396
-8,5,0.0012382253617227751
-8,6,-0.0013470157004630515
-8,7,0.0006985416175547296
-8,8,0.0021614567633976615
-8,9,-0.0026687924002681044
-7,-10,0.00015824732351367302
-7,-9,-0.0013119421747810423
-7,-8,0.00047427511282171304
-7,-7,0.0018523754870889543
-7,-6,0.001077004104382198
-7,-5,-0.0006294767744045584
-7,-4,-0.0003679296389050248
-7,-3,0.000778044735855453
-7,-2,0.0006041178553898764
-7,-1,-0.0037740733575144115
-7,0,0.0005165517380541282
-7,1,0.001972304200746053
