n1,n2,coeff
-10,-10,-0.0028750373849665764
-10,-9,-0.0017196383213028063
-10,-8,0.007438880498083292
-10,-7,0.004772895682579242
-10,-6,-0.012108112718825625
-10,-5,-0.009765998344933111
-10,-4,0.00987909193754746
-10,-3,0.00634468819559928
-10,-2,-0.004932443257894876
-10,-1,-0.0029812388624609375
-10,0,0.005805629440782851
-10,1,-0.012068696003810345
-10,2,0.003859487882401806
-10,3,0.006120461476359117
-10,4,-0.009909516076332626
-10,5,-0.011749500603495545
-10,6,0.007387310777910295
-10,7,0.011038364279099606
-10,8,-0.0030128169072181914
-10,9,-0.0071134107522898594
-9,-10,0.0038263007459531854
-9,-9,-0.0005059077230843931
-9,-8,-0.010373828734623319
-9,-7,0.0026556844112880728
-9,-6,0.015360720407082529
-9,-5,-0.00477945595298761
-9,-4,-0.026893101791194734
-9,-3,-0.00040153279700867793
-9,-2,0.012589728078672787
-9,-1,0.00739553915024839
-9,0,-0.0063097879361379795
-9,1,0.016717163176827303
-9,2,-0.005711203785152859
-9,3,-0.02659035706257247
-9,4,-0.004298932208139634
-9,5,0.020038786663740094
-9,6,0.0045887619290696695
-9,7,-0.013298604675728529
-9,8,-0.0010512484166336567
-9,9,0.007637582518939976
-8,-10,0.000638082119693424
-8,-9,0.005345245604642331
-8,-8,-0.0014278026970255425
-8,-7,-0.017742737407881928
-8,-6,0.0002299109739937171
-8,-5,0.03445206177570784
-8,-4,0.004329415624871637
-8,-3,-0.0424879305063717
-8,-2,0.0035802885560997635
-8,-1,-0.005157668273688345
-8,0,0.0003017326275271709
-8,1,0.0057808697090789484
-8,2,-0.04048996038444356
-8,3,0.006179710529425802
-8,4,0.04169822890354036
-8,5,-0.00031711380705552945
-8,6,-0.028886421302087295
-8,7,-0.0019255297606443854
-8,8,0.011815183239368886
-8,9,0.0007176694378950873
-7,-10,-0.005745359406148405
-7,-9,-0.0041894451928527875
-7,-8,0.016119425440926472
-7,-7,0.016363590549813806
-7,-6,-0.032829252260028925
-7,-5,-0.03664385976437061
-7,-4,0.04338889799701552
-7,-3,0.047606112373693193
-7,-2,-0.05458020534433775
-7,-1,0.0017033767331333073
-7,0,-0.014412980695129328
-7,1,-0.09317948107779578
-7,2,0.043099552512375267
-7,3,0.04753921988282385
-7,4,-0.043030989755733204
-7,5,-0.0443037614711979
-7,6,0.026355013107714167
-7,7,0.022197157653378066
-7,8,-0.010344154611141881
-7,9,-0.011816992502264355
-6,-10,0.006774564098557581
-6,-9,-0.0010100900017867346
-6,-8,-0.022759291419325357
-6,-7,0.00730534850043724
-6,-6,0.05101073390525727
-6,-5,-0.011518472961138695
-6,-4,-0.09388692934026985
-6,-3,-0.006551494798690103
-6,-2,0.08430864013360902
-6,-1,-0.025931590596215914
-6,0,0.02427170822895428
-6,1,0.09485246235415161
-6,2,-0.007293238866868161
-6,3,-0.09335698991838737
-6,4,-0.018912757375709757
-6,5,0.07643064298252407
-6,6,0.012674557075309173
-6,7,-0.03515721507542967
-6,8,-0.0036218826977881943
-6,9,0.01808787385334771
-5,-10,0.0003020058977742434
-5,-9,0.011247992033670582
-5,-8,0.009112639197319966
-5,-7,-0.03210154937583956
-5,-6,-0.00357214226828815
-5,-5,0.10638299735271142
-5,-4,0.10084513434927804
-5,-3,-0.1036791140292169
-5,-2,-0.154974926655657
-5,-1,-0.0354312903123844
-5,0,0.027770139291834854
-5,1,-0.2034755324226141
-5,2,-0.044512695261786306
-5,3,0.14433634706971057
-5,4,0.14960457153191503
-5,5,-0.030546750610599145
-5,6,-0.0662310696170113
-5,7,0.010124770814847792
-5,8,0.01939153339019887
-5,9,-0.0034729163582664225
-4,-10,-0.0049630984556906085
-4,-9,-0.0019235668099358114
-4,-8,0.024234772786415885
-4,-7,0.04076404582281925
-4,-6,-0.04087067040765026
-4,-5,-0.052908067550412254
-4,-4,0.14138922427080527
-4,-3,0.30096064090043834
-4,-2,0.06562354898787767
-4,-1,-0.2631926884472403
-4,0,-0.3446202780011599
-4,1,0.3722622589958452
-4,2,0.3950494199749368
-4,3,0.16323733780772878
-4,4,-0.1568827574514627
-4,5,-0.09280557090342713
-4,6,0.06229816888735816
-4,7,0.03396790061737311
-4,8,-0.018888370414635237
-4,9,-0.01378572943605683
-3,-10,-0.0012581526101053352
-3,-9,-0.0072104895038112155
-3,-8,-0.0019759097857842585
-3,-7,0.011747190820435457
-3,-6,0.05915422515986239
-3,-5,0.006902496246663051
-3,-4,-0.019583571325145887
-3,-3,0.047180577319772134
-3,-2,0.3586358256833141
-3,-1,0.156588977261302
-3,0,0.7120371095637773
-3,1,0.4996980748248688
-3,2,0.27870038974387723
-3,3,0.00910475567019912
-3,4,0.02473548091911005
-3,5,0.1418704335156689
-3,6,0.007554953806887
-3,7,-0.024555985839622294
-3,8,-0.0056332526281601195
-3,9,0.0010282183459616406
-2,-10,0.0016840387847267947
-2,-9,-0.010252696499278584
-2,-8,-0.029107102263244443
-2,-7,-0.008185291317262021
-2,-6,-0.08917435752008102
-2,-5,-0.014160284054970338
-2,-4,0.07953421531965925
-2,-3,-0.16538782754373038
-2,-2,-1.5153902084529527
-2,-1,1.884381462060179
-2,0,0.5340759161260225
-2,1,-2.058106756947569
-2,2,-0.4179226522753343
-2,3,0.21803732306973295
-2,4,0.27888107055774813
-2,5,-0.1622302247089176
-2,6,0.000973957668321499
-2,7,-0.007533567717157794
-2,8,0.0008521380701330164
-2,9,0.014075846669052513
-1,-10,-0.0019561453480999914
-1,-9,0.004374924242494452
-1,-8,-0.02437784565321278
-1,-7,-0.12484004207337981
-1,-6,0.005019977949063075
-1,-5,-0.3612646146278625
-1,-4,-0.9555161048379786
-1,-3,-0.6616164309110302
-1,-2,2.3316925597223173
-1,-1,-3.685850380399873
-1,0,-1.2641939367324728
-1,1,1.3349907787216033
-1,2,-1.5193321094260321
-1,3,-1.575954469132285
-1,4,-0.9191294875592549
-1,5,0.23266730948846756
-1,6,-0.024991498603364304
-1,7,0.02459243602736607
-1,8,0.04308061268923426
-1,9,0.0035505268271154985
0,-10,0.0013431544664087572
0,-9,-0.0004619421695929019
0,-8,0.010890729930562556
0,-7,0.01964113116138367
0,-6,-0.12967951962019797
0,-5,-0.10277113620071295
0,-4,0.2334940035293163
0,-3,-0.011223300159983234
0,-2,-2.348214157155852
0,-1,0.6168611192042405
0,0,0.7938207473673671
0,1,-4.606460668330595
0,2,-0.19118893155977126
0,3,0.707953510784872
0,4,0.08647949187787966
0,5,-0.24165240010853825
0,6,0.09324062868664042
0,7,0.05867247581079569
0,8,-0.008912365738198456
0,9,0.009201574138442196
1,-10,0.00434071971620964
1,-9,0.011867628869120931
1,-8,0.031761270099391815
1,-7,0.04536621366971564
1,-6,0.1886659270199094
1,-5,-0.02882798817156732
1,-4,0.6490831089725203
1,-3,0.35283561830583876
1,-2,-3.534490055063878
1,-1,-1.0498737302056809
1,0,5.091245818292025
1,1,-9.032558157054607
1,2,1.6575769143857455
1,3,2.039191083537914
1,4,-0.005258936694624003
1,5,0.19699359969418734
1,6,0.1001870875945042
1,7,-0.029494955857507246
1,8,-0.022309263874471578
1,9,0.007413283579733413
2,-10,0.0003065857968989912
2,-9,-0.007013185846076395
2,-8,0.005639355847501547
2,-7,0.05155249405512761
2,-6,-0.05918113138409052
2,-5,-0.1651862540437776
2,-4,-0.19171240813769383
2,-3,0.0807246868986601
2,-2,0.6393479008642374
2,-1,-0.2606270830274888
