phi1,phi2,g11,g22,g12,g21
0,0,278.2673399766527,278.17455616466793,-0.8069913349588341,-0.8134449230562261
0,1,278.27755031014306,285.20837160276204,-0.9450749900217092,-0.9584419565272622
0,2,278.28484232032446,362.19701839996674,-0.8011217194811194,-0.810583381815257
0,3,278.1850070783742,399.3653481952743,-0.5492998125016523,-0.5536062831541185
0,4,278.13408426580384,426.0006294920502,-0.3472816847691413,-0.34741153754825754
0,5,278.2480235395851,461.920899512947,-0.23635650327727706,-0.2317284563975502
0,6,278.2834482946769,454.0615384203643,0.01044975158959154,0.008907402367775206
0,7,278.2906910305724,412.0233635366767,0.48163883034003785,0.4923761000025408
0,8,278.2439025002072,427.9259858278204,1.1291279132797718,1.1341052657653328
0,9,278.3130800885881,374.0747203716986,1.6432127875095608,1.6498587687464792
0,10,278.3190904719003,262.7866807985623,1.6827474350281282,1.6782562492941187
0,11,278.3400902380094,237.28782077420874,1.2468969755236483,1.2409504202833237
0,12,278.22391653138624,358.3886274312486,0.9383791250154493,0.9444921723616108
0,13,278.38017671893266,608.6056017954519,0.61948908410407,0.6312399086974066
0,14,278.38758353304354,841.7475507876188,-0.3951042830939423,-0.40804184967614054
0,15,278.39607300723725,918.5462055192654,-1.6679110833490227,-1.6923034233613121
0,16,278.31432236311923,873.9505082755254,-1.9369952941650204,-1.938202339783635
0,17,278.30530815150036,773.2235583387599,-1.1179662582120509,-1.1063440871022265
0,18,278.27173938641573,659.4429235688929,-0.3584657244556143,-0.371595571349425
0,19,278.29049365818304,467.9712327535394,-0.4175503223309322,-0.40172992359215554
1,0,285.07600425904684,278.16837655353106,-0.7933402174974281,-0.8135646076035244
1,1,285.0578338069901,285.22199946623044,-0.9329166292852888,-0.9352128842556819
1,2,284.9798869847285,362.2908664612577,-0.805181083600428,-0.8037138790393342
1,3,285.0026274740385,399.43994636023405,-0.54563751968191,-0.5350794118309029
1,4,285.05813911853846,426.0263944518766,-0.32084832206104963,-0.3196414873158797
1,5,284.9957003277546,461.92870684225295,-0.21212634387544993,-0.1926181308544801
1,6,285.0617782203044,454.056786270289,0.06080203428295024,0.06910559408803665
1,7,285.0872589551253,411.95804940530866,0.6334486332377982,0.6266328987756863
1,8,285.07596828153453,427.9442489628229,1.4071692884320464,1.412691453791094
1,9,285.1378634801978,374.0705519063139,2.1057594577647762,2.101041354025823
1,10,285.0298333282048,262.77354293512786,2.1551129899488246,2.138359969545779
1,11,285.18032241600525,237.25601513316164,1.6064584601260719,1.5932928994182094
1,12,285.16412871595367,358.38953772705725,1.163293323309145,1.1638255452918158
1,13,285.1569324539829,608.613901805128,0.7198032865438635,0.7285355271337822
1,14,285.2222933135697,841.672687825139,-0.6005087040633644,-0.586882171086893
1,15,285.1387923704764,918.5630288696273,-2.047412083816287,-2.0595232882723673
1,16,285.09248173482257,874.0325506000653,-2.191849860968025,-2.196520116748217
1,17,285.1724359065363,773.1822228776327,-1.2277751111188349,-1.2257655609282638
1,18,284.9855147260902,659.3648753628103,-0.3993887440447036,-0.42015262778247736
1,19,285.05435909226424,467.97079306915697,-0.41671874940866566,-0.41731836638535696
2,0,362.24838204877796,278.1311060150596,-0.6092002945482223,-0.6096309917866173
2,1,362.2453332490348,285.21545810738354,-0.7256815947092338,-0.7320206861026317
2,2,362.24481816553595,362.12369529500376,-0.6314564682924027,-0.6345245715174158
2,3,362.27062577612924,399.456537539204,-0.43318012161246433,-0.42070946543056553
2,4,362.30865867646537,426.004822511405,-0.23684678081665145,-0.23891888572976702
2,5,362.27377517353136,461.9768005541142,-0.15436175043750455,-0.12393303022554157
2,6,362.2603659733212,454.06492957796695,0.09953437129766463,0.10360907718389209
2,7,362.27867494651963,411.9825132767923,0.6556744870888334,0.6555946129329375
2,8,362.2469390109515,427.93924893184834,1.4811070467005616,1.4905790547681896
2,9,362.2463788070777,374.1011043138162,2.224022425531209,2.2483215905636684
2,10,362.3340424688478,262.8060905375577,2.3268507280393016,2.3145330834396622
2,11,362.3317327790806,237.33254055197744,1.7397457826721263,1.7297290567117416
2,12,362.33648526422724,358.33936458079324,1.2397470374687973,1.2596837713163853
2,13,362.3440230678863,608.584910995606,0.7741574495110515,0.7953616060199166
2,14,362.46338206034505,841.6411220853344,-0.5299145272219957,-0.5344697438211611
2,15,362.30453376832367,918.603153957747,-1.7577821558958397,-1.7616956074672574
2,16,362.31497770023566,873.9436641206554,-1.7301224664776007,-1.7396467822960642
2,17,362.20882393908533,773.182808977774,-0.895524635941569,-0.8970508238313896
2,18,362.1464768683684,659.4592760522427,-0.29427227706049675,-0.3023990882657189
2,19,362.2394971805484,467.94598177687914,-0.3135379456442953,-0.31859995493243864
3,0,399.0344092420492,278.14750985529264,-0.19239976167533557,-0.19097860208106957
3,1,399.05463404515666,285.23785591288265,-0.2721111467144772,-0.27707737296044344
3,2,399.1005812523901,362.09800697729025,-0.27791807941258234,-0.2848349198279508
3,3,399.059044650427,399.44856343025356,-0.21359429648480105,-0.23143973769588097
3,4,399.1823588214463,426.03075028082264,-0.12865311063149468,-0.1328077782569567
3,5,399.0759410201222,461.998678091082,-0.09881820431791966,-0.0827441166192823
3,6,399.11947239384574,454.06704020746184,0.06213297850103678,0.06487932366420061
3,7,399.1781120407703,412.0924837394865,0.4693271264282683,0.4761620365570711
3,8,399.24401290580863,427.9519412518706,1.157933892236406,1.1724019088878825
3,9,399.30011008811056,374.11770629824014,1.849832374753678,1.8634794280814766
3,10,399.25033768133903,262.79666570057964,2.0260566136243754,2.0152446352921087
3,11,399.3025049446874,237.2949476657114,1.587078212939788,1.577814541147584
3,12,399.2448144242787,358.28685949556854,1.2906713766299098,1.292467419119072
3,13,399.36375058366775,608.6059176703178,1.0025010346587402,1.01422725925524
3,14,399.2423337418947,841.6736882805633,0.2270949483880823,0.2003763760652425
3,15,399.2007845069463,918.6599705203638,-0.3795794919825082,-0.38282667112000457
3,16,399.1653208259804,873.9776089439893,-0.23983566272018275,-0.26148629425381226
3,17,399.1683791090446,773.1943284055017,0.006758613426755661,0.0027268228056085927
3,18,399.2564198323151,659.4807924315339,0.029590931184597092,0.012146286863064935
3,19,399.17105446625027,467.94651926884745,-0.06982067092512292,-0.07638595963025113
4,0,426.068749532622,278.23987215251384,0.25054657506186173,0.2532535500015529
4,1,426.10894915055195,285.29546524339054,0.22105162108745674,0.21992459769247827
4,2,426.09919139529603,362.23958961246194,0.08671228556217185,0.09190765338951669
4,3,426.10142731847486,399.38328251393165,-0.025020901883873136,-0.028240539694547775
4,4,426.0801711556669,426.0602852026305,-0.08380348050974029,-0.08620813053503233
4,5,426.1202711424324,461.98610239505575,-0.11943273618411726,-0.11208537955232371
4,6,426.0170923136201,454.0749314854224,-0.07628882894079493,-0.07676914977346934
4,7,426.1451677857589,411.8939815612911,0.14594350922819718,0.15420277770922905
4,8,426.162105139859,427.9867079737839,0.6199969586341004,0.6127595648136147
4,9,426.0329340371311,374.15480260995224,1.19999881766024,1.2109533084000998
4,10,426.0131611622692,262.8446758241187,1.5001670923565664,1.48136795933186
4,11,426.09743642668013,237.29621139639454,1.3895745243230435,1.4041766229516714
4,12,426.1337080577636,358.29501716883277,1.4254476658382411,1.4388884550622905
4,13,426.12206035411873,608.5668481505782,1.5648842579330062,1.5683228182904612
4,14,426.07535940081016,841.7191544279266,1.5529855293747594,1.5424520076941128
4,15,426.0531120931663,918.7551699374696,1.738280350360008,1.7687413664293732
4,16,426.08192307614644,874.0266290688074,1.7762924355171512,1.7679942245931821
4,17,426.0823811037613,773.2123240752318,1.1946222481432065,1.184768278648821
4,18,426.0591238642512,659.4067782598258,0.4743726583265592,0.4792505277198203
4,19,426.1182471592716,467.9651379837736,0.20874490521569294,0.19482332787137427
5,0,462.1875959331812,278.1166588295845,0.6215669889473091,0.612539236365228
5,1,462.05277936327866,285.11981140755415,0.6073138488348455,0.6033913581952319
5,2,462.04763157638644,362.23659568025084,0.3549647918556055,0.34825906587471794
5,3,462.06438170006186,399.32601809890815,0.036392256989038946,0.03315699099193424
5,4,462.06987189171736,425.99566039477884,-0.14826378899098494,-0.17471328413269052
5,5,462.0889957687106,461.9824564295523,-0.27291338931641945,-0.28050106868065605
5,6,462.112635243081,454.0769711298338,-0.36061735557204727,-0.3496915354479899
5,7,462.1698896313228,412.0734627468393,-0.34004992207880397,-0.34681492309079276
5,8,462.18910195504617,427.9992025333419,-0.1456953335203959,-0.15756617447494176
5,9,462.16930779230506,374.16591743749217,0.3179683584425499,0.30637139682050957
5,10,462.1944534737305,262.87193308447036,0.8037692325111035,0.800765078718298
5,11,462.1583370330397,237.2888874954903,1.1684578963414185,1.1709253448696944
5,12,462.16020866611586,358.33953439031393,1.7324088622796365,1.7398324863229635
5,13,462.216827395949,608.5701904150218,2.5334794100797557,2.5458174115447836
5,14,462.20925161337067,841.8640096642722,3.5959585441690733,3.607186805867839
5,15,462.1395725162153,918.8585063927048,4.60869661825199,4.606902782382449
5,16,462.2319128036451,874.1374666980954,4.2448079249392565,4.2387484567149
5,17,462.24037114522656,773.2122708137508,2.605522697069084,2.610629058676772
5,18,462.15036736388777,659.4567420091662,1.0440539387475276,1.045732761365277
5,19,462.07246866938135,467.97033466381237,0.5127610232651382,0.5055267578439266
6,0,454.0296010915422,278.22640148278924,0.8831038923783804,0.889393129957217
6,1,454.0140515814422,285.2362019923855,0.8443183076264016,0.8511487070896991
6,2,453.9933053894263,362.14223289454134,0.47169939427927193,0.48129023576321617
6,3,454.0095867938344,399.336762742845,-0.030337555548749694,-0.03602973787748193
6,4,454.0011049651633,426.1664670682462,-0.43082766888624124,-0.42219025053465203
6,5,453.99752749258533,462.1554526642442,-0.6500877755267973,-0.6482664380308418
6,6,453.9976988506696,454.07581465702486,-0.912109800950738,-0.9094210115434792
6,7,454.06980154554805,412.12666962423714,-1.2423046195241563,-1.2316161231024259
6,8,454.0944173175363,428.0297209330436,-1.540893937662481,-1.5343470522793066
6,9,454.13558569296856,374.18903033559104,-1.432022319298119,-1.4374353564452693
6,10,454.18119019343715,262.88123821659065,-0.7158615824674992,-0.7273553638865884
6,11,454.1685167854875,237.2773304410366,0.4835078278583046,0.4618879081842692
6,12,454.2229012237169,358.34904971159574,1.9751257945930527,1.9822115474482418
6,13,454.2480431890992,608.6585273378313,4.0220662986054,4.0195701539772655
6,14,454.29777149471977,841.9726451796021,6.8054540401328305,6.77148577975389
6,15,454.280734203708,918.9412196551098,8.376576469835518,8.35419147976513
6,16,454.2565330646986,874.0948185575726,7.050478135160392,7.060715978342696
6,17,454.30915630636895,773.2994415060366,4.11102579038652,4.105216124322875
6,18,454.152369291778,659.4015978097117,1.6647713565783133,1.6695351266402587
6,19,454.0298175255855,467.87931864514746,0.7836622711949235,0.7956651818856751
7,0,412.03269476171016,278.2048843743553,0.9942968577564649,0.992307856184874
7,1,412.0428516704605,285.2455322800822,0.9347737464910818,0.9379963946433489
7,2,412.02026079785963,362.20077169883103,0.45445264472654584,0.46026031232595355
7,3,412.03784258005476,399.3143495421545,-0.22335803949324107,-0.2082682639629882
7,4,412.0518932909338,425.89915820296966,-0.7897614571234645,-0.7846113728876234
7,5,412.05992940685604,462.1784230444935,-1.1666266293027892,-1.1637357159800672
7,6,412.0397218441068,454.1580567226182,-1.64549768392602,-1.664727657322298
7,7,412.0601833932762,412.12184519352144,-2.4229939008994745,-2.427776024050107
7,8,412.0875878965419,428.001852476984,-3.43210151763022,-3.427497546260417
7,9,412.00824259770474,374.18567941950334,-3.88739909191266,-3.896561238573416
7,10,412.2242219920849,262.87099392894993,-2.891657972126891,-2.9128352163476094
7,11,412.2400691595556,237.25521175538458,-0.6021618500788242,-0.6155916260617089
7,12,412.3239675901532,358.41490908318866,2.2192144783484244,2.2218287895047992
7,13,412.38830695126904,608.7481668507957,5.852408996171166,5.845150819930514
