phi1,phi2,g11,g22,g12,g21
0,0,277.8877555312968,278.17036923198657,-0.15641019611461504,-0.15853840414915704
0,1,277.8999082460157,285.33912983917804,-0.1748713326812648,-0.17519542147825978
0,2,277.8812032585932,362.18280238344465,-0.14640551944092203,-0.1522645878020718
0,3,277.9216446460303,399.31088899650166,-0.09755587023075989,-0.09619851325266712
0,4,277.7791461230024,426.06542486587654,-0.04701731829665802,-0.037052752142685906
0,5,277.92213394596087,462.14393091036374,-0.012763877698367902,-0.013727461751021842
0,6,277.8589461839606,454.1337456768384,0.06064118409092822,0.06011036911864118
0,7,277.8639741296672,411.99103490071155,0.16765989407228976,0.18087791891457577
0,8,277.8455202131729,427.87058034326043,0.3562300224962709,0.34514244984852416
0,9,277.94521684161856,374.02845525685916,0.4875951370837437,0.46954295395791307
0,10,277.84864838799416,262.7757491576484,0.4817109782715536,0.4737287821970993
0,11,277.8907209917713,237.22033855443402,0.3465899275184343,0.34994862629092877
0,12,277.848522508173,358.3233290053337,0.22091796665692204,0.21410543506146057
0,13,277.901536947572,608.6429724248015,0.07555673240186851,0.05078795572477468
0,14,277.85626564542446,841.7142213083763,-0.30848392572996225,-0.2851607190157413
0,15,277.7400033180693,918.4866362074765,-0.6558838291852778,-0.6546050197550461
0,16,277.9256839728431,873.857228374263,-0.6735300944765212,-0.6426571288208012
0,17,277.89055404671757,773.0751788699923,-0.41715498065980583,-0.4011964536120871
0,18,277.8615356551578,659.5361014580562,-0.18040709826108722,-0.16921430497546847
0,19,277.84336210796334,467.9286456184972,-0.12269538373783116,-0.11938370836057362
1,0,285.3420280693696,278.16792281552335,-0.15160409524992804,-0.15231858944165108
1,1,285.2946692655364,285.301528558872,-0.19206433839011952,-0.167223425903681
1,2,285.28177956243167,362.1726102336069,-0.14677665634926654,-0.1454174512454395
1,3,285.2496481163427,399.24307065884403,-0.09411653127269304,-0.0925783549076835
1,4,285.4151112288706,426.0759088632456,-0.05814206414635477,-0.03319479273940073
1,5,285.2769575052742,462.0978538812349,-0.008198327814901629,0.004206376689887059
1,6,285.1775229420394,454.0976267875039,0.05572666918503541,0.07473414931078728
1,7,285.1818446308829,412.0023950461165,0.1982184363007171,0.22636120225303333
1,8,285.27556390329863,427.8294632210984,0.4022545075424333,0.3970720574841728
