n1,n2,coeff
-10,-10,0.00014681937467743772
-10,-9,0.00034058411694179474
-10,-8,-6.307320344834927e-07
-10,-7,-0.0006563942330949466
-10,-6,0.0005226872085139447
-10,-5,0.0005001692090183781
-10,-4,-0.0004226641863504107
-10,-3,-2.013029960558592e-05
-10,-2,0.00020099482021439485
-10,-1,-0.0006600741499974966
-10,0,0.0008249724740557932
-10,1,-0.002374115682833845
-10,2,0.001654285585469243
-10,3,-0.00013697359017184212
-10,4,0.00038014995920663397
-10,5,0.0004910054103273337
-10,6,-0.0010026051002732619
-10,7,0.000575763391556843
-10,8,0.00014041830334674191
-10,9,0.00020279410472013695
-9,-10,-3.663518867030695e-05
-9,-9,0.0006671149285051353
-9,-8,0.0007075801007002914
-9,-7,-2.8587283511523085e-05
-9,-6,-0.000240388501315087
-9,-5,0.0007094102003936167
-9,-4,-0.00022313524771824992
-9,-3,-0.0015971744364925511
-9,-2,0.00036687545510220463
-9,-1,0.0005291674000279369
-9,0,-0.0003253050668728135
-9,1,0.003055527300401296
-9,2,1.5120544432201733e-05
-9,3,0.0008977296822991137
-9,4,0.001572691185483598
-9,5,-0.0003966082502852767
-9,6,-0.0006912091294545165
-9,7,0.00036754429151423666
-9,8,0.00028903321306547575
-9,9,-0.00010999070646973049
-8,-10,0.0004986877895744949
-8,-9,1.4522340447149681e-05
-8,-8,0.0001365523041258012
-8,-7,-0.0005517865322259078
-8,-6,-0.00010203993713778381
-8,-5,0.00043965920286658276
-8,-4,0.000788564965234016
-8,-3,-0.0008872608917360012
-8,-2,-1.758440970808159e-05
-8,-1,0.000749028099826081
-8,0,-0.0019502289095798592
-8,1,0.004959240398642664
-8,2,-0.0009271817834960273
-8,3,-1.0965529894002332e-05
-8,4,0.0004853505927773814
-8,5,-0.0002952745525769807
-8,6,-0.0004449035866766579
-8,7,0.00026421967212844285
-8,8,0.0005539810694851821
-8,9,0.0003366541512449971
-7,-10,3.688214007401561e-05
-7,-9,0.00041735292355361185
-7,-8,-0.00017163503518252335
-7,-7,-0.000820137984019415
-7,-6,-0.00039232156546276163
-7,-5,-0.00021745024329762274
-7,-4,0.00026815290248531084
-7,-3,0.0006534894623314259
-7,-2,0.0009892092495253997
-7,-1,0.00013212220435656938
-7,0,0.00045601313572304973
-7,1,-0.0026268281405920015
-7,2,-0.00013653171058500933
-7,3,-0.00042189342764174006
-7,4,-0.0003655456738317924
-7,5,-2.75486543222319e-05
-7,6,0.00013501863248402936
-7,7,-5.7021734089968515e-05
-7,8,-0.0004876110649749797
-7,9,-0.00013050120248946456
-6,-10,-0.00028382766225624757
-6,-9,-0.0003808519340597823
-6,-8,-0.000581757674805358
-6,-7,1.0129115665581982e-05
-6,-6,0.0008355023563864374
-6,-5,-0.001053003730443385
-6,-4,-0.000538229353774041
-6,-3,0.0002675809414872206
-6,-2,0.0001096576596173181
-6,-1,0.0013779787349737665
-6,0,0.0011660089647715709
-6,1,0.0001048678815615048
-6,2,-0.0002059529220059823
-6,3,0.001310021153118075
-6,4,-0.0003231064846899312
-6,5,0.0009529271611226287
-6,6,0.00121175242221043
-6,7,-0.0009363140769480306
-6,8,-0.0010540701278424235
-6,9,0.0002819397145992129
-5,-10,2.1590381646385887e-06
-5,-9,-0.0006034986485768456
-5,-8,-0.00014445883383538624
-5,-7,-0.00014909749564184517
-5,-6,0.0002528311769659296
-5,-5,-0.00042949753362249486
-5,-4,0.0002484814041077296
-5,-3,-0.0006651135953008006
-5,-2,-6.509056987534369e-06
-5,-1,-0.0009267084850038323
-5,0,0.0005694254545883796
-5,1,0.003746821756150595
-5,2,-0.001071709003103898
-5,3,0.0003140716313044284
-5,4,-0.0002666673627777488
-5,5,-0.00015938953351951108
-5,6,0.000998403496136867
-5,7,-0.00048664375323602806
-5,8,-0.0013173443493996108
-5,9,0.0006590522369713334
-4,-10,0.0002305546512912864
-4,-9,-5.757026552490839e-05
-4,-8,0.0002598336275942958
-4,-7,0.00024710815844875044
-4,-6,-0.000262454375330177
-4,-5,0.0011361542437035705
-4,-4,-0.002074440022473708
-4,-3,-0.002305296169822644
-4,-2,0.012757985170908044
-4,-1,-0.0034790689969706238
-4,0,-0.006966438652884822
-4,1,0.03230317883768948
-4,2,-0.00692212136128181
-4,3,-0.003846093837577576
-4,4,0.001433992229541535
-4,5,0.0005056629554148122
-4,6,-0.0004218349915888998
-4,7,0.0006165448378863666
-4,8,-0.0004628272984500388
-4,9,-4.5173674925409326e-05
-3,-10,0.0006055173883681091
-3,-9,-0.00021738246851857164
-3,-8,-0.00037018816588883514
-3,-7,-0.00029276292347835044
-3,-6,0.0005651836962286515
-3,-5,-0.0015438589419951134
-3,-4,0.0032828120023310897
-3,-3,0.011141557499781636
-3,-2,-0.03114806136581645
-3,-1,0.005092114416870532
-3,0,0.014808637131247386
-3,1,-0.07612594308240439
-3,2,0.026984025542037604
-3,3,0.008256131255225348
-3,4,-0.0026899978495767626
-3,5,-0.0007562523825869055
-3,6,0.0011071262963054714
-3,7,-0.0003571326727306176
-3,8,-0.0003945664471688764
-3,9,0.0007274308588555162
-2,-10,-0.0004153223919122458
-2,-9,-0.00041286397706992965
-2,-8,0.000832181543829651
-2,-7,0.00011235745297198327
-2,-6,0.002333228492657217
-2,-5,-0.0076658177544287505
-2,-4,0.01527818648229387
-2,-3,0.032070833354474595
-2,-2,-0.13708010975555435
-2,-1,0.02705007042984316
-2,0,0.0717766257903455
-2,1,-0.32936202454252644
-2,2,0.08509458848056321
-2,3,0.04098529593445574
-2,4,-0.008922958701820322
-2,5,-0.0036531221007207915
-2,6,0.0047938588808422115
-2,7,-0.0012224684356734884
-2,8,-0.0015762884764416315
-2,9,0.0012563097095411747
-1,-10,-0.0008128827004067569
-1,-9,-4.0051998154871636e-05
-1,-8,0.000612555178497256
-1,-7,0.0009504105810867566
-1,-6,-0.00136985194478695
-1,-5,0.0034057572099892687
-1,-4,-0.005223779404317129
-1,-3,-0.017929520547272645
-1,-2,0.05964905419585665
-1,-1,-0.01483573234618682
-1,0,-0.026716676038315786
-1,1,0.15861133012767606
-1,2,-0.05122737306640287
-1,3,-0.013777398290513942
-1,4,0.003098190516955791
-1,5,0.00020901872793268277
-1,6,-0.0023694941995102787
-1,7,-0.0003052095154308681
-1,8,0.0004823855147070594
-1,9,-0.00033192221697782136
0,-10,-0.00016556644027802147
0,-9,0.00011477030315614704
0,-8,-0.0002168365765695063
0,-7,-0.0008765639623116623
0,-6,-0.0014117800250460462
0,-5,0.005364396735812781
0,-4,-0.009264393691173706
0,-3,-0.022372772962594
0,-2,0.09244884482116866
0,-1,-0.018444158014611585
0,0,-0.047663107758586315
0,1,0.21843434847398527
0,2,-0.05852866243204372
0,3,-0.026791835434743987
0,4,0.004886479236828656
0,5,0.002870480749259833
0,6,-0.003713444122835001
0,7,0.00024340296650516115
0,8,0.0013131050372675685
0,9,-0.00030733929305723365
1,-10,0.0004939198371102298
1,-9,-0.0008099441852303421
1,-8,0.0016012982462559654
1,-7,4.176848562576883e-05
1,-6,0.008299409327637687
1,-5,-0.025494968957892487
1,-4,0.038406733219921343
1,-3,0.10207052456516728
1,-2,-0.3904769476788693
1,-1,0.042741913517478636
1,0,0.2152050505853109
1,1,-0.9708361325331639
1,2,0.26649968510869426
1,3,0.11387461843455698
1,4,-0.029993916280033468
1,5,-0.008284374141320612
1,6,0.015485244558926964
1,7,-0.002721588920772299
1,8,-0.0026801578212516247
1,9,0.0032510252021633952
2,-10,-2.7719221439033048e-05
2,-9,-0.0008161649332611924
2,-8,0.0009233288988505186
2,-7,0.000708945506386171
2,-6,0.00030444892426079715
2,-5,-0.0008231704398652595
2,-4,0.0010483709934238359
2,-3,0.009853676051277358
2,-2,-0.019891970107700985
2,-1,0.002282848425682643
2,0,0.006980934596103111
2,1,-0.036674076832016775
