n1,n2,coeff
-10,-10,1.439860620313564e-15
-10,-9,8.999128876959778e-17
-10,-8,-7.199303101567822e-16
-10,-7,3.599651550783911e-16
-10,-6,-7.199303101567821e-16
-10,-5,2.879721240627128e-15
-10,-4,2.159790930470346e-15
-10,-3,2.1597909304703455e-15
-10,-2,3.455665488752554e-14
-10,-1,-8.639163721881383e-15
-10,0,-6.911330977505107e-14
-10,1,2.879721240627128e-14
-10,2,1.1518884962508511e-14
-10,3,-8.639163721881387e-15
-10,4,8.639163721881383e-15
-10,5,-1.439860620313564e-15
-10,6,1.0798954652351725e-15
-10,7,-1.4398606203135635e-15
-10,8,3.599651550783909e-16
-10,9,-7.199303101567818e-16
-9,-10,-7.199303101567823e-15
-9,-9,-8.819146299420586e-15
-9,-8,-1.2598780427743694e-14
-9,-7,-1.1518884962508519e-14
-9,-6,2.8797212406271298e-15
-9,-5,-1.1518884962508516e-14
-9,-4,5.7594424812542596e-15
-9,-3,0.0
-9,-2,-7.127310070552144e-14
-9,-1,1.4398606203135645e-14
-9,0,1.828622987798227e-13
-9,1,-6.947327493012948e-14
-9,2,-3.4556654887525546e-14
-9,3,1.727832744376278e-14
-9,4,-1.4398606203135645e-15
-9,5,-1.7278327443762773e-14
-9,6,3.59965155078391e-15
-9,7,-1.5838466823449203e-14
-9,8,7.199303101567822e-16
-9,9,1.1518884962508511e-14
-8,-10,-1.7278327443762773e-14
-8,-9,1.4398606203135649e-15
-8,-8,-1.4398606203135649e-15
-8,-7,-3.4196689732447166e-15
-8,-6,-7.559268256646214e-15
-8,-5,1.1518884962508516e-14
-8,-4,-2.5197560855487376e-15
-8,-3,-3.959616705862301e-15
-8,-2,9.899041764655756e-15
-8,-1,-1.0618972074812538e-14
-8,0,-3.475913528725714e-14
-8,1,2.114795286085548e-15
-8,2,1.0618972074812538e-14
-8,3,-4.139599283401499e-15
-8,4,-3.5996515507839103e-16
-8,5,-5.7594424812542564e-15
-8,6,4.499564438479887e-15
-8,7,-4.2295905721710936e-15
-8,8,-4.319581860940692e-15
-8,9,-1.0079024342194946e-14
-7,-10,0.0
-7,-9,5.399477326175869e-16
-7,-8,-7.199303101567824e-16
-7,-7,3.599651550783913e-15
-7,-6,-2.8797212406271298e-15
-7,-5,-8.63916372188139e-15
-7,-4,-1.799825775391956e-15
-7,-3,-1.799825775391955e-15
-7,-2,-7.788746043008689e-14
-7,-1,1.4848562646983635e-14
-7,0,1.940212185872528e-13
-7,1,-7.365786985791579e-14
-7,2,-2.6457438898261747e-14
-7,3,1.5658484245910018e-14
-7,4,-1.4758571358214038e-14
-7,5,-8.639163721881387e-15
-7,6,1.0798954652351731e-15
-7,7,2.519756085548737e-15
-7,8,-3.23968639570552e-15
-7,9,-1.0079024342194947e-14
-6,-10,-1.1518884962508516e-14
-6,-9,-1.0798954652351737e-15
-6,-8,-1.1968841406356504e-14
-6,-7,-7.199303101567824e-15
-6,-6,-5.039512171097475e-15
-6,-5,1.7278327443762773e-14
-6,-4,-3.167693364689842e-14
-6,-3,-7.19930310156782e-15
-6,-2,-1.3066735129345594e-13
-6,-1,2.9877107871506465e-14
-6,0,3.3836724577368765e-13
-6,1,-1.2724768232021125e-13
-6,2,-5.3994773261758656e-14
-6,3,3.743637612815268e-14
-6,4,-1.9438118374233113e-14
-6,5,2.879721240627128e-14
-6,6,-7.19930310156782e-15
-6,7,-1.0079024342194946e-14
-6,8,3.959616705862301e-15
-6,9,2.8797212406271274e-15
-5,-10,-2.924716885011927e-16
-5,-9,1.0798954652351735e-15
-5,-8,3.23968639570552e-15
-5,-7,-3.655896106264911e-17
-5,-6,1.7278327443762773e-14
-5,-5,1.2958745582822078e-14
-5,-4,7.919233411724603e-15
-5,-3,1.079895465235173e-14
-5,-2,1.2670773458759367e-13
-5,-1,-3.7436376128152674e-14
-5,0,-3.686043188002724e-13
-5,1,1.4974550451261067e-13
-5,2,5.759442481254258e-14
-5,3,-4.607553985003407e-14
-5,4,2.8797212406271284e-14
-5,5,-1.2238815272665293e-14
-5,6,0.0
-5,7,3.2396863957055176e-15
-5,8,-3.059703818166323e-15
-5,9,-1.7998257753919545e-15
-4,-10,-5.039512171097474e-15
-4,-9,-5.2194947486366715e-15
-4,-8,6.299390213871844e-16
-4,-7,-1.0079024342194955e-14
-4,-6,3.599651550783911e-15
-4,-5,1.1518884962508513e-14
-4,-4,-1.7278327443762773e-14
-4,-3,-8.639163721881382e-15
-4,-2,-1.0438989497273338e-14
-4,-1,-6.119407636332648e-15
-4,0,1.3138728160361271e-14
