n1,n2,coeff
-10,-10,0.0001797226031331788
-10,-9,-0.0005709704856474908
-10,-8,-7.427532555742732e-05
-10,-7,0.000818221080959664
-10,-6,-0.00015895022108013124
-10,-5,-0.0006165354732772356
-10,-4,0.0003147250534037704
-10,-3,0.000507910483747595
-10,-2,0.0006839869764570889
-10,-1,8.760267165797653e-06
-10,0,-0.0006575099589604969
-10,1,-7.180687067124189e-05
-10,2,0.0006728151574260469
-10,3,0.00048493609420635105
-10,4,-0.0010769598989719556
-10,5,0.00022213519359047876
-10,6,0.0006026422480681286
-10,7,0.0009979050262862949
-10,8,-0.0001878803008752111
-10,9,-0.00024847281510086605
-9,-10,0.0005806162860371814
-9,-9,0.0006405127058210277
-9,-8,-0.0011019273599722815
-9,-7,-0.0009315369951489388
-9,-6,0.0012886713995669684
-9,-5,0.0010285289222528864
-9,-4,-0.0002515819652230798
-9,-3,-0.0016962916789686163
-9,-2,0.0003075123926172275
-9,-1,-0.000119352893250824
-9,0,-0.00023076043581850164
-9,1,0.003006289144174614
-9,2,-0.001490800891967031
-9,3,3.951168342330339e-05
-9,4,-6.492217330736622e-06
-9,5,0.0005795160625672436
-9,6,0.00011627216733222325
-9,7,-7.811609047586505e-05
-9,8,0.0011717214186611662
-9,9,0.0002253094230481645
-8,-10,-0.00011908053296987069
-8,-9,0.000220995005523999
-8,-8,-0.00015913725482029315
-8,-7,-0.00034203822014404814
-8,-6,0.0007732810553578568
-8,-5,0.0011434884569756448
-8,-4,-0.000511572946618081
-8,-3,-0.0007976575867430853
-8,-2,0.0012613649681145716
-8,-1,0.00011303988958263942
-8,0,-0.0010504551201063084
-8,1,0.004160096805835751
-8,2,-0.0007493148990626414
-8,3,-0.0007418202059284995
-8,4,0.000216650943037227
-8,5,4.641642427701754e-06
-8,6,-0.00027263852081916776
-8,7,-0.000136790668528065
-8,8,0.0010952720706454587
-8,9,-0.0004788515151575168
-7,-10,0.00025205191026214625
-7,-9,0.00032366628994293345
-7,-8,0.0001507984657668546
-7,-7,-8.077050031917868e-06
-7,-6,-0.0006778709743804009
-7,-5,0.0005516803162141865
-7,-4,0.0010325354674918397
-7,-3,0.0010822609823153107
-7,-2,-2.604329670144721e-05
-7,-1,-0.0010252677942154018
-7,0,0.0002770524059403052
-7,1,-0.0036698548518637945
-7,2,-0.0009917001286190992
-7,3,6.577135008198761e-05
-7,4,0.0005729692853322689
-7,5,0.0008203147562746029
-7,6,-0.0003694177621428612
-7,7,4.8486191660007834e-05
-7,8,-0.0005931133465872853
-7,9,0.00024432034374484305
-6,-10,-2.2343155543222192e-05
-6,-9,0.00025818866386378297
-6,-8,0.0006396492610877419
-6,-7,0.0002250270550882877
-6,-6,-0.0008003381847469428
-6,-5,0.00033672546332641094
-6,-4,-0.0005611225316081536
-6,-3,-0.00035657713856583373
-6,-2,0.0025875101183676376
-6,-1,0.00017682158108468988
-6,0,-0.000702914206689122
-6,1,0.0033521652230270762
-6,2,-0.0024881639571499945
-6,3,0.0008697376128226426
-6,4,-0.00028327695814242765
-6,5,0.0012510081069535845
-6,6,-7.739794311532167e-05
-6,7,-0.0001753331982856773
-6,8,0.00028963796556780066
-6,9,-0.0003393866300881871
-5,-10,-0.0008046197029413376
-5,-9,-0.0005013499464242141
-5,-8,0.0009915392714132882
-5,-7,0.00031654250919152543
-5,-6,-0.0011388013458664492
-5,-5,7.654422749420258e-05
-5,-4,0.0003755668742039489
-5,-3,0.0011394446545175488
-5,-2,0.002741311792207547
-5,-1,-0.00287657698988245
-5,0,0.0002749228762363408
-5,1,0.011188765223518178
-5,2,-0.0015206107274844552
-5,3,-0.0003162619303089435
-5,4,-0.0013558544749238599
-5,5,-0.00042750527210440005
-5,6,-0.0002789929597508044
-5,7,-0.0001578518549700375
-5,8,-0.0002447724657530294
-5,9,-0.000614634735844559
-4,-10,-0.0005692462144991927
-4,-9,0.00016100619178356114
-4,-8,1.0900165239459071e-08
-4,-7,-0.000871518499292313
-4,-6,0.0007659001681904957
-4,-5,0.00034801910585808914
-4,-4,-0.004128494594538403
-4,-3,0.00032588183293565137
-4,-2,0.016390855734729065
-4,-1,-0.00848797356759429
-4,0,-0.00679523956947497
-4,1,0.034108904581642945
-4,2,-0.0019332176016264944
-4,3,-0.009425305159256629
-4,4,0.0006256909519094326
-4,5,0.0020308932393058037
-4,6,-0.0014870867242771858
-4,7,-0.0007813131531383677
-4,8,-0.0004417140340604998
-4,9,-0.00048424326484446806
-3,-10,-0.00016420547661331105
-3,-9,0.0009760166801817803
-3,-8,-0.0002276253064089339
-3,-7,-0.0012414357239497204
-3,-6,0.003890658494707747
-3,-5,-0.006005506323924866
-3,-4,0.0002468866325247288
-3,-3,0.031712674721253525
-3,-2,-0.07876324811599802
-3,-1,0.005125177070887686
-3,0,0.03984772684980432
-3,1,-0.20326666035484148
-3,2,0.07822543793016255
-3,3,0.010959048282981332
-3,4,-0.006589358682873091
-3,5,0.001214257397122405
-3,6,0.0023607715188814905
-3,7,-0.001658677398339359
-3,8,-2.340073269973618e-05
-3,9,-0.00010217115920310913
-2,-10,-1.7455207219654455e-05
-2,-9,0.000398663348852469
-2,-8,0.00024541653906629733
-2,-7,0.0003228575143280124
-2,-6,0.005243727063299039
-2,-5,-0.01639973028056615
-2,-4,0.021898058240004726
-2,-3,0.07270727550806422
-2,-2,-0.25798280180780997
-2,-1,0.04565287032317789
-2,0,0.13056465546777346
-2,1,-0.6140621514025068
-2,2,0.17936398558208302
