n1,n2,coeff
-10,-10,-0.0005434911486193021
-10,-9,0.0002790369956324306
-10,-8,0.00012380565609494118
-10,-7,-0.000326439212913073
-10,-6,0.0004969137635432422
-10,-5,0.0003197866573983688
-10,-4,0.00045977833589766134
-10,-3,0.0014318738995425934
-10,-2,-0.0013380514195000012
-10,-1,7.042896157330528e-06
-10,0,0.0005884853323342902
-10,1,-0.00035342612833872094
-10,2,-3.1556461708459396e-05
-10,3,0.0020247484254847913
-10,4,0.00012308207783192236
-10,5,-0.0007445344885582101
-10,6,-0.0001142253491730111
-10,7,-0.0004757612408153583
-10,8,-5.7960081724106283e-05
-10,9,-0.0004042636849181888
-9,-10,-0.0005565212742996542
-9,-9,8.584566779001018e-05
-9,-8,0.0012893557876518618
-9,-7,-0.00019912072370810528
-9,-6,2.0115211767711002e-05
-9,-5,-0.00032101361193305976
-9,-4,-0.0012750714133609306
-9,-3,0.0015275853862921802
-9,-2,0.0011689493808433103
-9,-1,-0.0010209784685092144
-9,0,-0.0008521229629146857
-9,1,0.0013742231060718312
-9,2,0.0002132704128989673
-9,3,-4.8968118138483455e-05
-9,4,-0.000662918771530246
-9,5,-5.101669239416142e-06
-9,6,0.00010108462690035035
-9,7,-0.00021023558785272697
-9,8,0.00037885546271832664
-9,9,0.0002709403667569951
-8,-10,-0.0004769673275949682
-8,-9,-0.0008637169844887803
-8,-8,0.0007194834749056237
-8,-7,0.0006164059053650437
-8,-6,-0.00018992125995023494
-8,-5,-0.00033075629039443596
-8,-4,-0.00026554450562514255
-8,-3,-0.0007478147390206159
-8,-2,0.0024128916587926714
-8,-1,-0.00012055463269556004
-8,0,-0.0008520304546018085
-8,1,7.92192975044031e-05
-8,2,-0.0002688074746365293
-8,3,-0.0015227228031450234
-8,4,0.0002975212764129178
-8,5,0.0019113916304925236
-8,6,-0.00024265630998266744
-8,7,-0.0004825729898348148
-8,8,0.0012645027838614597
-8,9,9.402864427455567e-06
-7,-10,0.0003878809301577199
-7,-9,0.00026412103535584653
-7,-8,-0.00031745949470724855
-7,-7,0.00048568735594775315
-7,-6,-0.00030304304169727434
-7,-5,0.000524922046246146
-7,-4,0.0012631252819481932
-7,-3,-0.0018281184789396907
-7,-2,-0.0019592172336844998
-7,-1,0.001656647982838691
-7,0,0.001695367801719468
-7,1,-0.004253729721672061
-7,2,0.0007195960340165174
-7,3,0.001153883099701295
-7,4,0.0006663133017785687
-7,5,-0.000886600258412197
-7,6,-0.0005105895974101828
-7,7,0.0007228411596658449
-7,8,-0.00044086934223383647
-7,9,0.00037819277181145363
-6,-10,0.00020844546474148735
-6,-9,0.00013491919320749528
-6,-8,-0.000161397262696972
-6,-7,0.0014190373416013793
-6,-6,-0.0004509176122986891
-6,-5,-0.0020631641501733166
-6,-4,0.0003071637153068346
-6,-3,0.0005744278492272027
-6,-2,0.004741358562275777
-6,-1,-0.008810855832356034
-6,0,-0.0034219601133980105
-6,1,0.005849492576188311
-6,2,0.0010586094137784534
-6,3,-0.002011634546055729
-6,4,-0.0023851556934031347
-6,5,-0.0012783332705616998
-6,6,0.0008043829520059642
-6,7,0.0010885101291721498
-6,8,-0.0013595186169856614
-6,9,0.0001148109612907026
-5,-10,-0.0003071225163457643
-5,-9,0.0003251992005911471
-5,-8,-0.0007991990225833052
