n1,n2,coeff
-4,-4,-0.02484991972896261
-4,-3,-0.033099686026200545
-4,-2,0.20474421706523194
-4,-1,-0.08862226120088862
-4,0,-0.04921883519898812
-4,1,0.3159547830634717
-4,2,-0.033615259836416306
-4,3,-0.0640683540026658
-4,4,0.001663187341629152
-3,-4,0.060858389317476634
-3,-3,-0.02484377859645215
-3,-2,-0.24467074660226054
-3,-1,0.31088028347482993
-3,0,0.13707727424803495
-3,1,-0.27668481210677554
-3,2,0.0023260998333915484
-3,3,0.11333761273598288
-3,4,0.09471305116716384
-2,-4,0.09518046335672037
-2,-3,0.13174643435501976
-2,-2,-0.8865506943144634
-2,-1,0.5823433055377638
-2,0,0.28282251906904904
-2,1,-1.3431611688794183
-2,2,0.20702446672816208
-2,3,0.2723134215282274
-2,4,0.05237177606163845
-1,-4,-0.24501135170629285
-1,-3,-0.3982398790017383
-1,-2,1.8658831649445393
-1,-1,-1.611849765978362
-1,0,-0.5404025452145987
-1,1,2.3967664261205437
-1,2,-0.63535944956231
-1,3,-0.5836699792766531
-1,4,-0.25877853283544827
0,-4,-0.05560518503059647
0,-3,0.2648433910851621
0,-2,-0.20514755269867146
0,-1,-0.3507004523694679
0,0,0.07164084374037194
0,1,-0.6840857517586338
0,2,0.37466447003662895
0,3,-0.034441083960146335
0,4,-0.17242080433775492
1,-4,0.39846185256238326
1,-3,-0.11564240709076767
1,-2,-1.5405704122710293
1,-1,0.9548395082735777
1,0,1.3275163627311182
1,1,-2.614899893618096
1,2,0.17673017733076826
1,3,0.8278960765902894
1,4,0.3563551587006092
2,-4,-0.12038182050379848
2,-3,-0.18828460576448766
2,-2,0.7779226214838839
2,-1,-0.18834804810850292
2,0,-0.2689578912606253
2,1,1.2661985346029823
2,2,-0.23454524855089492
2,3,-0.27884613262863794
2,4,0.04500128223965197
3,-4,-0.07193779982189097
3,-3,0.1842141315155917
3,-2,0.046425572345734634
3,-1,-0.12854959612621436
3,0,-0.14864871928852408
3,1,0.06837587832193609
3,2,0.19926323331275553
3,3,-0.10654878502439269
3,4,-0.10489810290511714
4,-4,-0.02009950165547969
4,-3,-0.0272776272092502
4,-2,0.2427539085385108
4,-1,-0.3007958538126453
4,0,-0.04448475934683238
4,1,0.2714543190694134
4,2,-0.05331801611499287
4,3,-0.06355925099347415
4,4,-0.0575685291509897
