n1,n2,coeff
-4,-4,-0.002107086668390794
-4,-3,-0.011684436900140094
-4,-2,0.047476386780906654
-4,-1,-0.030627066255979718
-4,0,-0.0076974902858332195
-4,1,0.04273471304149096
-4,2,0.004358988492341176
-4,3,-0.01691726530960541
-4,4,0.0010539977123078387
-3,-4,0.004088554088197881
-3,-3,0.009951449871381302
-3,-2,-0.0011872771204254895
-3,-1,-0.09784021324701878
-3,0,0.04539155602166969
-3,1,-0.33582835307238573
-3,2,0.15555790523540536
-3,3,-0.01582708097511909
-3,4,-0.01780275490267008
-2,-4,0.02174526401350857
-2,-3,0.1048920347299922
-2,-2,-0.25829067656471427
-2,-1,-0.16545247422202994
-2,0,0.22127451234432693
-2,1,-1.1990898575714493
-2,2,0.4554341123803544
-2,3,0.03832512832153245
-2,4,-0.060827148864375624
-1,-4,-0.008447523399408019
-1,-3,0.04668171382730084
-1,-2,-0.06322158011305357
-1,-1,-0.014127423325861671
-1,0,0.05786302397348281
-1,1,0.04074455210316724
-1,2,-0.00416252551552429
-1,3,0.0094293586954792
-1,4,-0.007141438576080038
0,-4,-0.018268934688289662
0,-3,-0.0648630134027269
0,-2,0.17347600764213938
0,-1,0.10544963191772994
0,0,-0.14115695297294972
0,1,0.8445771887286659
0,2,-0.31948241711168335
0,3,-0.026800190270817814
0,4,0.04168060492100073
1,-4,0.06188666890941211
1,-3,0.26568082386052405
1,-2,-0.5868156407181955
1,-1,-0.6680054610367171
1,0,0.6594034356469919
1,1,-3.3989978932451987
1,2,1.3316849321928237
1,3,0.0918241250719377
1,4,-0.2078551860457608
2,-4,0.004117315978286823
2,-3,0.004901306692030899
2,-2,0.042477353126657735
2,-1,-0.17300832156090434
2,0,0.06548790745626842
2,1,-0.44775490778483706
2,2,0.24215061693800471
2,3,-0.04287686857009053
2,4,-0.027092086482966488
3,-4,-0.00917616857923087
3,-3,-0.04443007157665789
3,-2,0.1276823100905854
3,-1,0.026359555049251665
3,0,-0.0757775302880978
3,1,0.41963585847661167
3,2,-0.1317837736301358
3,3,-0.033147806089453766
3,4,0.022254265069957646
4,-4,-0.0020261171165739666
4,-3,0.006026446306057531
4,-2,-0.006164432058333738
4,-1,0.0010919045491760704
4,0,0.009925063009819934
4,1,0.05262467363916393
4,2,-0.01768203842610544
4,3,0.003388152822815016
4,4,-0.0002330643100969844
