phi1,phi2,g11,g22,g12,g21
0,0,276.96350069943594,278.09305523130905,-0.7866445016746304,-0.7888034520387265
0,1,277.00754597286624,285.2363868905097,-1.1138067179833444,-1.1188177001362765
0,2,277.0648564159254,362.06451676097765,-1.4080550628822985,-1.419714780898251
0,3,277.00264141739405,399.56483657626796,-1.6320001663484986,-1.6416188603244555
0,4,276.9680146387876,426.05836190002344,-1.8570753085880134,-1.8447402255964587
0,5,277.07460626051443,462.18269400539134,-2.185468713149409,-2.1762713323721017
0,6,276.97737901522595,454.15474105417593,-2.0266645652968034,-2.0299007914639473
0,7,277.11525599112196,411.9412091217101,-0.3771342082241103,-0.3838287985836708
0,8,277.0167866281994,427.9433364615875,2.1535472311924493,2.16520936112687
0,9,277.131310964041,374.281114889824,3.7085132979338655,3.698379724972332
0,10,277.00106974289974,262.8886724382902,3.552864556065308,3.5505644493539297
0,11,276.76047158147816,237.25787183773264,2.9014741321981856,2.910995342275559
0,12,277.016062036951,358.339251711134,2.7696570482293104,2.781873771669154
0,13,277.071295928446,608.8254549584175,2.863580707430847,2.8672950993323743
0,14,277.0879256866291,841.7582237764049,2.250733072282443,2.255441596896287
0,15,277.05077630253203,918.507384595059,1.0320838201153855,1.031754163017013
0,16,277.08194098080173,873.8962366366219,0.10133330230315846,0.09843807271020442
0,17,276.98675377488155,773.175221039975,-0.158009131244309,-0.1509715207391844
0,18,276.9643736638851,659.6295941527843,-0.1764269272966784,-0.1833917163529502
0,19,277.01058612219384,467.8821038339537,-0.4075528472805047,-0.42935789116522677
1,0,285.68754589161875,278.09594590295023,-1.111433216032182,-1.0975704668380046
1,1,285.6373356427198,285.1975339781464,-1.575328495518288,-1.5959267419773921
1,2,285.6477654838799,362.0622523506102,-2.0617971969891697,-2.0267325663046063
1,3,285.7178512526287,399.5609298347969,-2.3295931581691582,-2.349240305103397
1,4,285.7139772462875,426.03752292618003,-2.673772488769138,-2.6765654076438383
1,5,285.7862916973944,462.15955879661914,-3.0925785234940846,-3.0962150223557363
1,6,285.82215240839275,454.11636838446157,-2.9166549975084624,-2.9303999768076534
1,7,285.82600609145044,411.91746732603616,-0.7158026905463384,-0.7298264718992816
1,8,285.8316486495339,427.8877915894459,2.575220679367282,2.5547754941980174
1,9,285.8866063780703,374.1896031622572,4.577132924741194,4.556423252470701
1,10,285.81553583654176,262.865529790023,4.3861122884216215,4.394963219978399
1,11,285.82045345858387,237.25942244871115,3.650008096849073,3.6465886787529582
1,12,285.774243637256,358.3800195435982,3.5678493418763906,3.5630793711416096
1,13,285.79159604257734,608.7352804940183,3.7719023322217415,3.7770955743623835
1,14,285.8142930971126,841.7088715316771,3.0639690916238593,3.0538219371637774
1,15,285.8032305895953,918.4881286194429,1.4833423747182104,1.508447628882895
1,16,285.73856693321426,873.9226373685967,0.22187159215792,0.22505909590183085
1,17,285.7547176275448,773.2476926767566,-0.18840821997410667,-0.19005167365218673
1,18,285.70710928029837,659.6112586081904,-0.260873406721939,-0.27129255026404403
1,19,285.8261870456815,467.9073390300826,-0.6159283904411934,-0.6143014428350372
2,0,362.10952849754943,277.9193568573575,-1.1324578846071642,-1.129169342060486
2,1,362.1363172779956,285.13735344195277,-1.6235346829326969,-1.6295774139266035
2,2,362.13545633483824,362.0750258736832,-2.1170557926100093,-2.111170139785446
2,3,362.16774035984076,399.50529463056284,-2.445557273888119,-2.4654379407319142
2,4,362.2498331548862,426.0136201113811,-2.7897024570547337,-2.793782048583989
2,5,362.0954511825978,462.1746600289266,-3.245541461814206,-3.2653511251770735
2,6,362.30854538648686,454.12691103286,-3.1347657927890555,-3.106812784315613
2,7,362.2809391804179,412.03258846772235,-1.035146829742881,-1.0193932394518137
2,8,362.24164696004294,427.88484636600555,2.14241520838707,2.152366706819831
2,9,362.17800859668455,374.21276426590674,4.145121605346144,4.139792366274858
2,10,362.2008136224878,262.80768629577767,4.106389401348209,4.096840255106766
2,11,362.1174848726406,237.2419245245727,3.4596615688093935,3.4721116944918893
2,12,362.23901911385065,358.3837218716668,3.492336083778505,3.484774406640418
2,13,362.30927534558265,608.731784174343,3.801046963943053,3.809862020468353
2,14,362.1861929862642,841.7527206999455,3.2232002046751065,3.208436785841808
2,15,362.13365989044536,918.5235578538667,1.6959339734779777,1.718649343370752
2,16,362.1920401350371,873.9957060639304,0.39516987267470416,0.39591763950823167
2,17,362.07591587233776,773.1668410784602,-0.05674050477296661,-0.04116204938041479
2,18,362.1126815034564,659.6152138829284,-0.21454621374687807,-0.22074710765458647
2,19,362.18983681771607,467.8591046866481,-0.6143012804339354,-0.6073324103308568
3,0,399.42175270685226,278.0371443446116,-1.0840636237320103,-1.0808630756044757
3,1,399.4185305538343,285.09724954251965,-1.5596114528318268,-1.5662493484851332
3,2,399.42867025444673,361.8880616604482,-2.0149308591174346,-2.0225037775327386
3,3,399.4439522758199,399.52121029434295,-2.3603337961931428,-2.3716429548209073
3,4,399.48274348465594,426.01188491173895,-2.701625268748145,-2.7231587168759095
3,5,399.50164275699314,462.16190741980995,-3.1595955007525482,-3.179874977766719
3,6,399.61581562395065,454.1183194353516,-3.0871613048101634,-3.0696778023397955
3,7,399.6307835812882,412.04850256713246,-1.2412668349961928,-1.223334341463951
3,8,399.62170244179015,427.8857793054527,1.5605819461048316,1.5637574703209518
3,9,399.6228525112648,374.1893715517328,3.371390736875614,3.362059958122652
3,10,399.449836848151,262.8422564085924,3.4281487309212353,3.4121815618348736
3,11,399.482660304096,237.2553327026837,2.962247081493863,2.9526815524805423
3,12,399.5691714887352,358.2819615342088,3.0911342727890756,3.099295708476348
3,13,399.542631250338,608.7483562646486,3.502066867585995,3.5119285280551003
3,14,399.540280184822,841.7158430456215,3.134805383647389,3.1386002146723375
3,15,399.4155037242134,918.5563752268599,1.8134394527301794,1.818964938589673
3,16,399.5226152978557,874.0430459256369,0.5694978427082202,0.5731822119529053
3,17,399.50677289872215,773.1884115554248,0.07757490471151823,0.07195820845133756
3,18,399.50698303411133,659.6233000676706,-0.14431560756366757,-0.1620929551392397
3,19,399.37819183561675,467.85449631466116,-0.5649382839957683,-0.5684000246147484
4,0,426.0365392257669,278.0045688317798,-1.020982564966023,-1.0138057917113334
4,1,426.0441898537992,285.24246080394033,-1.4847657592926635,-1.4817118356156074
4,2,426.0495194668444,361.75285659125683,-1.9220485608634883,-1.926879279531071
4,3,426.0568217023234,399.46757344814347,-2.2628130321717213,-2.2690481916861724
4,4,426.0773521392985,426.0092397011616,-2.6136758207666806,-2.6228335785028456
4,5,425.9851802275356,462.1695066893486,-3.0733717568566052,-3.0753803992310984
4,6,426.01439393060565,454.126648505346,-3.032838811181144,-3.030194932993248
4,7,426.0259840875915,411.9858498378061,-1.3719503375114028,-1.38484215566032
4,8,426.05068564682813,427.913848007518,1.1100284979995603,1.0882843579513928
4,9,425.98954050314717,374.1695661602696,2.7715707484324716,2.7735431154775756
4,10,426.09535269531983,262.84881098489603,2.911570138364127,2.9069392822242377
4,11,426.14761453500546,237.25159437671667,2.5876180845571346,2.6009833342403974
4,12,426.15110372623565,358.3777003425661,2.7952380613919385,2.797094445583009
4,13,426.0015024472836,608.7406960275221,3.303442640408723,3.268037884387205
4,14,425.9898346069953,841.7487204905098,3.079017630501684,3.089533577205584
4,15,426.0329765815739,918.5494757630413,1.9359774495129143,1.9163944599384017
4,16,425.9754806091026,873.9427493610938,0.7374925485673978,0.7213362271558136
4,17,426.07575247865265,773.190192205599,0.21286894902897469,0.19690839567127597
4,18,426.07213272856524,659.6259206646728,-0.06120475959027688,-0.07496849551997915
4,19,425.89912307309635,467.8607981420793,-0.5128905199483177,-0.5134894328893408
5,0,462.2992712316854,278.0040159590741,-0.9649174793095181,-0.9657216540269654
5,1,462.2768364336187,285.02598769587473,-1.4306529792747804,-1.4146509123647908
5,2,462.27399266686376,362.0092933879769,-1.838751002409448,-1.8455291420700346
5,3,462.2747594278949,399.53678844030713,-2.188860754187252,-2.2005275974604395
5,4,462.2601720047442,426.03855668327213,-2.5410879508714244,-2.5709088781687073
5,5,462.29852043819676,462.08798260590294,-3.0314904283240027,-3.0433320352810966
5,6,462.2343647225402,454.13080694754336,-3.034876095525323,-3.027321766789321
5,7,462.24628576624235,412.02204660055463,-1.554303323799214,-1.5639495102968446
5,8,462.290262203283,427.9103685874709,0.7288235013696002,0.7155863699133542
5,9,462.13574174260754,374.16237822900985,2.338590254279694,2.3248004230202923
5,10,462.22490010994017,262.83096330929584,2.5962490478635667,2.583861648250663
5,11,462.21989471161044,237.2509284433877,2.3839188412502215,2.3878031285057686
5,12,462.1562692064292,358.4429481223391,2.68192088200518,2.677475306003519
5,13,462.2002866712412,608.8188219420765,3.2424016516993057,3.244133924265666
5,14,462.1601028570879,841.7856688164885,3.175304267927066,3.1650315920768906
5,15,462.1297017104592,918.5731150969443,2.128698647444509,2.1025618572209077
5,16,462.178070967593,874.0107141001026,0.9412199524380209,0.9615064138677264
5,17,462.1910062989258,773.2108345911347,0.3453970456095498,0.32633154987223933
5,18,462.1762920002582,659.6378887653766,0.016410095579308556,0.012442034310528274
5,19,462.3040897320248,467.8276064536009,-0.4724627550063825,-0.45924052761642387
6,0,454.1175800867498,277.9875280815464,-0.7952330041245813,-0.8023563153804136
6,1,454.0722578098689,285.19190664185135,-1.1820894516422855,-1.1903841537272872
6,2,454.079951059088,361.86366450489066,-1.5553332932539075,-1.5556897972794979
6,3,454.125599137275,399.6169318114381,-1.8599112074801738,-1.878372449458516
6,4,454.1394234579576,425.9337924934213,-2.2072078250764937,-2.2120967731506065
6,5,454.17395406731504,462.1075893446126,-2.6472497823024113,-2.6475919333124076
6,6,454.21563415053464,454.12086512060984,-2.7014954955398793,-2.7103564562905187
6,7,454.2031308908635,412.07350508916625,-1.5540500168490354,-1.5701025473584895
6,8,454.1465953061627,427.9115737854429,0.2567341525745939,0.23682732745516086
6,9,453.9996378918453,374.1087601768805,1.6185540908269547,1.5986938596733637
6,10,454.1642585784626,262.78284293016156,1.9173040821547764,1.8929671160755699
6,11,454.1457705842903,237.2372322561878,1.8342431490597912,1.8345509426692197
6,12,454.1080731973873,358.3846696839652,2.174585740794857,2.1831808466882987
6,13,454.04196597449027,608.834921081946,2.777221182198643,2.7841105217521536
6,14,454.14296459228115,841.7460476993873,2.8437400497043117,2.8243783276606966
6,15,454.1584111521342,918.5783607063012,2.054606194519599,2.051506684331391
6,16,454.12186324434947,873.9332370871559,1.0560658342795157,1.0573090389306348
6,17,454.0829175240315,773.2070324495022,0.48906328284815065,0.4650908067685081
6,18,454.0514540954758,659.6370955690248,0.11492556644370622,0.11247569724516937
6,19,454.1018453923618,467.80792343925987,-0.35281741233254504,-0.3471697014091738
7,0,412.0743796694797,278.0830756517868,-0.5097909209606106,-0.5079571355931223
7,1,412.045930708524,285.21449003373925,-0.7742978173710401,-0.7729056535018456
7,2,412.0445056979807,361.9839894510985,-1.0305667795188076,-1.0339985107398832
7,3,411.97373684697993,399.482956936124,-1.266716519709499,-1.2855682337981025
7,4,411.95079850562627,426.00028682155033,-1.5134253832384679,-1.520766526205469
7,5,412.033511312724,462.04571349931354,-1.83010986431049,-1.8598041197130117
7,6,412.0517482673097,454.1816679655117,-1.918316072249774,-1.9300061720904844
7,7,412.017165479652,411.8593462256585,-1.2138024281051232,-1.2272236244940808
7,8,412.0025110949802,427.9013132795414,-0.12122936196647653,-0.1115073553383345
7,9,411.9704592819925,374.1578153716514,0.65453996180452,0.6682605207236483
7,10,411.99665459039625,262.80011743048146,0.8148287439959372,0.805556407334881
7,11,411.9207375374377,237.2833680438573,0.8033753558304327,0.7997911539287461
7,12,412.02775606711725,358.39821779466587,1.0529990451269498,1.0503661008773781
7,13,412.01861737056197,608.810186688413,1.51380941051137,1.5165675005540993
7,14,412.0264788356659,841.7805629416102,1.7796913231246778,1.7717168900148001
7,15,412.00559533416384,918.6024435782028,1.4732068653388921,1.4716350164397027
7,16,412.00247475488624,874.0436932497279,0.8814025102429281,0.8885210683034065
7,17,412.0792874407908,773.2445693773278,0.4607505759918669,0.4609029769189156
7,18,412.07984316974796,659.6506866707549,0.14455762808280215,0.14882715412514316
7,19,412.0650305810547,468.0228657226222,-0.2057165235974131,-0.20039646484588586
