n1,n2,coeff
-10,-10,0.021332419699959946
-10,-9,-0.03975719560025964
-10,-8,0.035770341800206364
-10,-7,-0.02364355831684825
-10,-6,0.0026151749008349262
-10,-5,0.022501582152507756
-10,-4,-0.04300639707672618
-10,-3,0.04665897818262179
-10,-2,-0.020500207642981536
-10,-1,-0.020896024886664154
-10,0,0.019168501820684393
-10,1,0.044456216391630644
-10,2,-0.04019145012628112
-10,3,0.0034115440370647647
-10,4,0.03263434025883353
-10,5,-0.0573711046618886
-10,6,0.05647272243796822
-10,7,-0.048067279642893486
-10,8,0.03334314879116323
-10,9,-0.01616266589577333
-9,-10,0.03544426078808835
-9,-9,-0.06706237207458239
-9,-8,0.055752944262596534
-9,-7,-0.030237242261040815
-9,-6,-0.01337313422257719
-9,-5,0.06107132997083968
-9,-4,-0.09484088047415695
-9,-3,0.09471211700896733
-9,-2,-0.030198881276338005
-9,-1,-0.04993128261349312
-9,0,0.03524716851980532
-9,1,0.08799096871515542
-9,2,-0.08434024578807169
-9,3,0.01974811179949102
-9,4,0.04908964203668907
-9,5,-0.09405727455076487
-9,6,0.10023243535946748
-9,7,-0.08940317672263208
-9,8,0.05878161578475858
-9,9,-0.030943594848965316
-8,-10,0.019326531210970714
-8,-9,-0.033869466569828005
-8,-8,0.015597093528354774
-8,-7,0.012882863924960507
-8,-6,-0.0517937123566256
-8,-5,0.09117387158459217
-8,-4,-0.11412798525883695
-8,-3,0.08878901568534701
-8,-2,0.004859991772319568
-8,-1,-0.08264826017997576
-8,0,0.027301927053230413
-8,1,0.0474677940861005
-8,2,-0.08253143480653087
-8,3,0.05894004179047343
-8,4,-0.01156922060652331
-8,5,-0.03676110110290911
-8,6,0.0586668244306062
-8,7,-0.060545988953516774
-8,8,0.044172553637331226
-8,9,-0.02277685997463161
-7,-10,-0.0023892970478529606
-7,-9,0.008390913122871019
-7,-8,-0.02549284315624151
-7,-7,0.05108852769926755
-7,-6,-0.08163233832730417
-7,-5,0.10666904676247861
-7,-4,-0.10022477648322613
-7,-3,0.05339149093826597
-7,-2,0.05975413108713632
-7,-1,-0.12400278423304427
-7,0,0.00664117554725608
-7,1,-0.08525397515926902
-7,2,-0.046969638995589355
-7,3,0.11718040651739765
-7,4,-0.10706998345153132
-7,5,0.05442036663839896
-7,6,-0.008982645363949007
-7,7,-0.01809224246767748
-7,8,0.01943103718295079
-7,9,-0.011797327687685225
-6,-10,-0.021461127425212344
-6,-9,0.041662991044890504
-6,-8,-0.05170190340490793
-6,-7,0.06814619404343278
-6,-6,-0.07723496098430438
-6,-5,0.06572448928161274
-6,-4,-0.01220307322194261
-6,-3,-0.0758734418022043
-6,-2,0.1961605778091562
-6,-1,-0.13258104884350666
-6,0,-0.08058812656236909
-6,1,-0.1631726268125424
-6,2,-0.03759645844926121
-6,3,0.17309985227827782
-6,4,-0.20344293725247242
-6,5,0.14814836260924988
-6,6,-0.08400538552908461
-6,7,0.03451972876864759
-6,8,-0.015471458772015884
-6,9,0.00657665648921546
-5,-10,-0.030369687140301794
-5,-9,0.05934186245872832
-5,-8,-0.05464061890609744
-5,-7,0.05069856837427228
-5,-6,-0.02693347420135784
-5,-5,-0.05218055514091734
-5,-4,0.19503192891706686
-5,-3,-0.37618038694696954
-5,-2,0.5103559065730316
-5,-1,-0.1751617295331681
-5,0,-0.2709556381457101
-5,1,-0.39870673299773124
-5,2,0.06837022557520993
-5,3,0.1506064218354265
-5,4,-0.24669203337864423
-5,5,0.20475618937808782
-5,6,-0.13943040651128308
-5,7,0.08664690875595862
-5,8,-0.05036049793891592
-5,9,0.027186849844160615
-4,-10,-0.030347453633750333
-4,-9,0.05280123473341568
-4,-8,-0.03228942627968203
-4,-7,0.004954320047944722
-4,-6,0.0464212872224405
-4,-5,-0.18449345720960575
-4,-4,0.4389500498239287
-4,-3,-0.792006048681777
-4,-2,0.924147805165398
-4,-1,-0.040907393731386965
-4,0,-0.6892807762790923
-4,1,-0.6951560489885238
-4,2,0.24619112380277786
-4,3,-0.04138144860513557
-4,4,-0.1354995440596051
-4,5,0.17724484012346312
-4,6,-0.15309664849263718
-4,7,0.11734308398112624
-4,8,-0.07724464163050045
-4,9,0.03691801017532127
-3,-10,-0.02223006156926301
-3,-9,0.032512462978922366
-3,-8,0.002807008252970348
-3,-7,-0.053962394748356755
-3,-6,0.14161276800008055
-3,-5,-0.30473156630850645
-3,-4,0.48777528717425156
-3,-3,-0.6144853118338464
-3,-2,0.3559099788446923
-3,-1,0.05593723149992428
-3,0,-0.5191482379257063
-3,1,-3.1244257483834335
-3,2,1.4110324878700935
-3,3,-0.33459098613652516
-3,4,-0.008007970853894734
-3,5,0.11564676238544981
-3,6,-0.0984983586822813
-3,7,0.09717803036218324
-3,8,-0.0775526744913006
-3,9,0.04115133947820789
-2,-10,-0.009447413949821737
-2,-9,0.014975349888567828
-2,-8,0.02101816889494889
-2,-7,-0.08389454690424139
-2,-6,0.20717092493431336
-2,-5,-0.33292019855938093
-2,-4,0.20337680704592842
-2,-3,0.4473467141984872
-2,-2,-1.2347989176971657
-2,-1,-0.7247669276997755
-2,0,1.1877008404080245
-2,1,-6.600747204538681
-2,2,3.202700749272628
-2,3,-0.4401468970179207
-2,4,-0.09372330669351095
-2,5,0.1388078398150017
-2,6,-0.026260769898451344
-2,7,0.027368584698318717
-2,8,-0.038581858086501664
-2,9,0.026333591360046225
-1,-10,-0.0003700335920210099
-1,-9,0.00875684590923715
-1,-8,-0.037364598652269744
-1,-7,0.046532681995632645
-1,-6,-0.012214092819046535
-1,-5,-0.0013754832990445199
-1,-4,-0.11878690858243765
-1,-3,0.1702724093231164
-1,-2,0.6499458044147363
-1,-1,-2.921355750720128
-1,0,2.5484986453921556
-1,1,1.014555334097754
-1,2,0.0940757838283316
-1,3,0.07142141160069543
-1,4,-0.3799323561874459
-1,5,0.2890594926440392
-1,6,-0.13166149286405057
-1,7,0.01754836555535694
-1,8,0.023327413583391316
-1,9,-0.020477680156685017
0,-10,0.0003212994988387868
0,-9,0.008666381039435286
0,-8,-0.047844014038279696
0,-7,0.09108490757633059
0,-6,-0.13693496096988178
0,-5,0.1502505460492187
0,-4,0.02517773460144058
0,-3,-0.708277793716718
0,-2,1.8685444581151662
0,-1,-1.748648078892952
0,0,0.8289960734402357
0,1,4.757842732637636
0,2,-2.0315183255629696
0,3,0.3601144308399163
0,4,-0.24931915879745864
0,5,0.18671031965106086
0,6,-0.13923142797131996
0,7,0.04033398449635167
0,8,0.016022295189578952
0,9,-0.022797750185820403
1,-10,-0.03506517993941162
1,-9,0.035549777794965765
1,-8,0.08380602507427101
1,-7,-0.20641829214312304
1,-6,0.40128573696257036
1,-5,-0.7286610552331203
1,-4,0.741693465976604
1,-3,-0.017124552448549577
1,-2,-0.6593485390366272
1,-1,-2.869254358964211
1,0,0.9966264953585187
1,1,-19.561077134692308
1,2,8.504677718093872
1,3,-0.6168196278928328
1,4,-0.8692059547856643
1,5,0.5558019648467231
1,6,-0.050433194815997326
1,7,0.06272251973815313
1,8,-0.11617480588184559
1,9,0.09405886978196978
2,-10,-0.02772208798479169
2,-9,0.03607026948622161
2,-8,0.013977906358118587
2,-7,-0.04198080219454928
2,-6,0.07171807745328687
2,-5,-0.24614306959877422
2,-4,0.6428486646139153
2,-3,-1.2686281784237756
2,-2,1.6697453068551869
2,-1,-0.5934028962238886
2,0,-1.383830851845012
2,1,-5.130182980924957
2,2,1.8678011215200265
2,3,-0.07424152659011411
2,4,-0.3810130352385146
2,5,0.301818158440269
2,6,-0.13355569763816094
2,7,0.094351973368143
2,8,-0.0852091969793207
2,9,0.05228624638717016
3,-10,-0.015301624729221029
3,-9,0.02879580838705571
3,-8,-0.03158855874593947
3,-7,0.05675829094997279
3,-6,-0.10269040916549818
3,-5,0.058181328204716436
3,-4,0.2537213763053235
3,-3,-0.949223330383778
3,-2,1.6579209004954603
3,-1,-0.2195717227267932
3,0,-1.0724032098252083
3,1,1.1122963550137355
3,2,-0.8157952757190402
3,3,0.30159421869733055
3,4,-0.26431824462637454
3,5,0.18179958486879613
3,6,-0.11816843885827252
3,7,0.05690035728244615
3,8,-0.029402065262714654
3,9,0.015499386443897239
4,-10,-0.005617592357702331
4,-9,0.0090176750469553
4,-8,-0.028884160955016804
4,-7,0.06943031730034174
4,-6,-0.12321080608177422
4,-5,0.16104972741681817
4,-4,-0.13045491054105862
4,-3,-0.04760396372235831
4,-2,0.5235952241430822
4,-1,-0.5967137579819115
4,0,0.06327288082108304
4,1,0.5397470669689909
4,2,-0.4490938287437008
4,3,0.3576420543632353
4,4,-0.2957212574514923
4,5,0.13913620878285274
4,6,-0.03549216479970692
4,7,-0.013946695735184868
4,8,0.01929854971255551
4,9,-0.010194296724742943
5,-10,0.011585425576393181
5,-9,-0.021411500366437318
5,-8,-0.0025810880437552733
5,-7,0.04707639163955531
5,-6,-0.11467985241677342
5,-5,0.2015554304035881
5,-4,-0.277358165045219
5,-3,0.28852969157465774
5,-2,-0.04176733886428513
5,-1,-0.3698373587172071
5,0,0.2704244282186376
5,1,0.14671826564819457
5,2,-0.2067377887920995
5,3,0.23445957828461814
5,4,-0.14229011471774927
5,5,0.018649319379296564
5,6,0.04889655116332039
5,7,-0.07020973447568041
5,8,0.05683086651641105
5,9,-0.027120080785448406
6,-10,0.029574371464618707
6,-9,-0.05403300826931918
6,-8,0.03302784989719105
6,-7,0.006000954802778854
6,-6,-0.07612965939265605
6,-5,0.1708391094382789
6,-4,-0.2553454085498171
6,-3,0.28557296583001013
6,-2,-0.1418685961799319
6,-1,-0.1300785443824245
6,0,0.1758435685396039
6,1,0.33060126717433647
6,2,-0.2170907750953058
6,3,0.08212849630724511
6,4,0.03371358758973922
6,5,-0.09990461412680636
6,6,0.11338020835450582
6,7,-0.10346317662397403
6,8,0.07253484516159295
6,9,-0.03492796553170462
7,-10,0.03838619278692687
7,-9,-0.07472791674757921
7,-8,0.06123438188706073
7,-7,-0.03641754026727896
7,-6,-0.014575494555465408
7,-5,0.08605899796801768
7,-4,-0.15688776555484749
7,-3,0.19278445888211004
7,-2,-0.1259372125429193
7,-1,-0.041298407146216326
7,0,0.10791746861230468
7,1,0.26002959874242304
7,2,-0.14049124908834892
7,3,-0.007763653315991576
7,4,0.11014221992602286
7,5,-0.14659028101224025
7,6,0.13160302646804947
7,7,-0.10476123880845355
7,8,0.06998090727069672
7,9,-0.03238465491746281
8,-10,0.035917568336432004
8,-9,-0.07107421242849209
8,-8,0.06710723296349268
8,-7,-0.05672526446202463
8,-6,0.02516020169925833
8,-5,0.016941967000421394
8,-4,-0.06496242371262222
8,-3,0.1007771164814719
8,-2,-0.07531787026609833
8,-1,-0.026810041015177307
8,0,0.06752593256665823
8,1,0.10921342433809346
8,2,-0.0565187171657629
8,3,-0.03628538969865244
8,4,0.1036250244408939
8,5,-0.12399723410878657
8,6,0.11058460260506707
8,7,-0.08152081302315843
8,8,0.05036043998530333
8,9,-0.02311565920734215
9,-10,0.020520408803089484
9,-9,-0.04366999228153622
9,-8,0.042216250478195584
9,-7,-0.038331904880473576
9,-6,0.028440085847717435
