phi1,phi2,g11,g22,g12,g21
0,0,277.8897671969509,278.2131870125117,-0.32476096715327335,-0.3234630473624986
0,1,277.9041329689435,285.10659417243517,-0.5202664830893672,-0.4940759885414372
0,2,278.1713995848064,362.43246675575205,-0.7210110918396986,-0.7091855137850885
0,3,277.9741785249549,399.4975236753398,-0.9440031441236052,-0.945762449867088
0,4,278.10786560348316,426.10437470578216,-1.248926080506423,-1.2486218491733003
0,5,278.07396107584975,462.27012407516634,-1.6365535694017903,-1.6534969856941653
0,6,278.1396103546297,454.44666495055253,-2.153102076335693,-2.180274907626747
0,7,278.1228625837483,412.24646580431187,-2.3822714056056795,-2.381134703802216
0,8,278.14381668703044,427.98028566655415,-1.4078782075496465,-1.4376976315180165
0,9,278.4607492663052,374.22765861840264,2.024315180611155,2.0194430123606293
0,10,278.2961777376677,263.18211839165053,4.937369212134771,4.964183144346678
0,11,278.2900324879682,237.68887164526333,5.971744331179683,5.9872621768164365
0,12,278.4915110586936,358.9187703271992,6.932018591531467,6.9449318806107225
0,13,277.89674569870635,609.3991970503622,7.239497659194951,7.282649468420965
0,14,278.17580468795813,842.0843562892488,5.664926631600732,5.65729478053508
0,15,278.15823421392633,918.7511278769435,3.276636601116656,3.2879655749876577
0,16,278.01553910581504,874.046221747989,1.5822985442477637,1.6142618905166721
0,17,277.9650270906367,773.2093922767433,0.7441695911670841,0.7403396103255333
0,18,278.09261829072193,659.58034286968,0.2693708673474621,0.26197915648206416
0,19,278.0614537608793,467.77451234353043,-0.08928840502641008,-0.08410454186694204
1,0,284.60072151783623,278.13293669333234,-0.6690238464736219,-0.6668757240152179
1,1,284.5423646019476,285.0908315556494,-1.0842435127585213,-1.077614616071714
1,2,284.5170104505594,362.3677940065375,-1.5339092484892831,-1.5570472490141458
1,3,284.60687047149804,399.3614461898052,-2.1249742228580373,-2.1209058338882842
1,4,284.63779542563094,426.03709493708953,-2.853662396286731,-2.8507140036671204
1,5,284.7001111821964,462.2636949064954,-3.826732886494066,-3.839816861007042
1,6,284.67523024056896,454.22709170371013,-5.000982508867153,-5.01017038427796
1,7,284.78668874857465,412.0721978542118,-4.948711518284421,-4.967788331132244
1,8,284.90652971767275,427.9581450621214,-2.4977721190522497,-2.500020985823239
1,9,285.0831684819332,374.1845281603634,2.9401383679549995,2.9592215625062943
1,10,285.04083820279106,262.9625417839213,6.900852265052158,6.939555881755328
1,11,285.008685421371,237.51546151141747,8.305646220421039,8.339066587482217
1,12,284.91261839663895,358.6983451108596,9.811362477247972,9.835235690980877
1,13,284.80775414106677,609.3447226895743,10.447522598809247,10.483706805791718
1,14,284.68972662536174,841.904045264673,8.443429206621454,8.460076230931943
1,15,284.6318056886687,918.6848065928197,5.1416140025884935,5.1529831214969475
1,16,284.58748041854,873.9102723578216,2.6167382782734037,2.6359248999645795
1,17,284.6354832312306,773.107520063729,1.2409957402243172,1.2456095002551708
1,18,284.6019100637246,659.6113567524275,0.4214397870811065,0.42207386294369076
1,19,284.5698551572901,467.7369294391806,-0.201786580314311,-0.20626218696005733
2,0,361.3994477146799,278.0650029719786,-0.8102082869082666,-0.7995151077098978
2,1,361.2697461687742,285.0073477368278,-1.3052721086060506,-1.2913466448062345
2,2,361.34679819246765,362.3945133289442,-1.896217651031876,-1.8975445729415212
2,3,361.32521727343715,399.35771480734866,-2.5816841940923787,-2.6126488969522588
2,4,361.2786323039789,425.94702281103383,-3.477203344499035,-3.474881646335658
2,5,361.24251176330927,462.2838280591849,-4.6990752828289954,-4.671867900989381
2,6,361.48902473262916,454.2579837943724,-6.031018664021073,-6.018623170196597
2,7,361.59406281243247,412.06962823695454,-5.843000003201642,-5.8507420177820055
2,8,361.7917442524978,427.9443532808414,-3.075123012435955,-3.071558078760559
2,9,361.7721113528203,374.1700624836765,2.540470859820461,2.5566443444945
2,10,361.8268487128388,262.898241717259,6.678206269668714,6.690418369974892
2,11,361.78329823417556,237.44907156549775,8.347170402079735,8.32929528642541
2,12,361.6208609911968,358.6182260204095,10.148648608478927,10.140581894325928
2,13,361.4936943740823,609.0901096163717,11.191658645098812,11.188876969220788
2,14,361.5493579732735,841.9796120993047,9.407313385051363,9.390503995350063
2,15,361.4138926248179,918.6762926391762,5.934263500646941,5.9440181999075765
2,16,361.348278863148,873.9303618579918,3.1316613240996407,3.1525731309002483
2,17,361.2714397231765,773.2150232214257,1.5263521938364306,1.5361489155213643
2,18,361.3412980926211,659.6213456157371,0.5435151290201528,0.5488559983735674
