n1,n2,coeff
-10,-10,-0.0038781422909454767
-10,-9,-0.00015940471641305294
-10,-8,0.007987785960211614
-10,-7,0.0028837736940085126
-10,-6,-0.01157940546410349
-10,-5,-0.008834228585827279
-10,-4,0.009428102618956507
-10,-3,0.0041098764752122
-10,-2,-0.004456018348465438
-10,-1,-0.0016978760958995063
-10,0,0.005084644637418529
-10,1,-0.014178293589001073
-10,2,0.0013465037868335738
-10,3,0.004554179125365986
-10,4,-0.008617393577407238
-10,5,-0.011416385132415248
-10,6,0.004119608559803674
-10,7,0.010269423536869271
-10,8,-0.0022851628255932867
-10,9,-0.005793445208504438
-9,-10,0.00481963842069399
-9,-9,-0.0013279206804547505
-9,-8,-0.010638236179962922
-9,-7,0.0011048075408814431
-9,-6,0.016987170263873096
-9,-5,-0.0022043878335770077
-9,-4,-0.026060277290594538
-9,-3,-0.001216782486162488
-9,-2,0.010489162643371058
-9,-1,0.007459900385828432
-9,0,-0.006268132371673271
-9,1,0.01417298310629773
-9,2,-0.006658199725590409
-9,3,-0.026436422919771635
-9,4,-0.004629390472372208
-9,5,0.02117133172275218
-9,6,0.0029561875653317466
-9,7,-0.012994984060010676
-9,8,0.0012558173736339575
-9,9,0.008579028907189225
-8,-10,0.00018533447067558244
-8,-9,0.003834209258255041
-8,-8,-0.0030521026234652635
-8,-7,-0.015322536899552543
-8,-6,0.0021038186114521406
-8,-5,0.03138718050040092
-8,-4,0.004581343451660285
-8,-3,-0.04196005985523568
-8,-2,0.0021702364266020127
-8,-1,-0.0015536335930874876
-8,0,-0.0006302303909099412
-8,1,0.005228055779957313
-8,2,-0.04236797925841598
-8,3,0.004250943036344785
-8,4,0.03838404057894051
-8,5,0.000603044155574056
-8,6,-0.02342827894918793
-8,7,-0.00018338128896085333
-8,8,0.009306363398306717
-8,9,0.0009558949754048712
-7,-10,-0.0045903362567384694
-7,-9,-0.005283673683060529
-7,-8,0.015010651648126752
-7,-7,0.017832191174339988
-7,-6,-0.032448305604424035
-7,-5,-0.03462862827350149
-7,-4,0.04281296729413888
-7,-3,0.048539858587185396
-7,-2,-0.055623836208595824
-7,-1,0.0015442485559683992
-7,0,-0.012769638607433256
-7,1,-0.09433165737725191
-7,2,0.04072499169884245
-7,3,0.04770568908062802
-7,4,-0.04012951613539217
-7,5,-0.04548082588007707
-7,6,0.0263745129944282
-7,7,0.02239738150214361
-7,8,-0.010882824024590435
-7,9,-0.011311693363913852
-6,-10,0.006674200091473713
-6,-9,-0.00015290858574698859
-6,-8,-0.020983658113393464
-6,-7,0.005440535852518753
-6,-6,0.049761714666804256
-6,-5,-0.0103908630443365
-6,-4,-0.09252251708465091
-6,-3,-0.007720198018141617
-6,-2,0.08190381572160675
-6,-1,-0.027178390396823487
-6,0,0.02695224035891759
-6,1,0.09429833695983786
-6,2,-0.006448195956543585
-6,3,-0.09314245521514986
-6,4,-0.017468375134384633
-6,5,0.07640667015614533
-6,6,0.011451048752021305
-6,7,-0.03501671272256139
-6,8,-0.0025781235655911957
-6,9,0.016291644060424795
-5,-10,0.0006415034452389807
-5,-9,0.012153617230798268
-5,-8,0.010512966331326857
-5,-7,-0.03151038242233047
-5,-6,-0.0062564733175677675
-5,-5,0.10559996174228349
-5,-4,0.1010664822835187
-5,-3,-0.1029153738195059
-5,-2,-0.15572628504881966
-5,-1,-0.037667256808400114
-5,0,0.02611940999213984
-5,1,-0.2015477082142807
-5,2,-0.042174736250277525
-5,3,0.14470738030014613
-5,4,0.1479385183118578
-5,5,-0.03229059509507021
-5,6,-0.06543946047983243
-5,7,0.01261337978903962
-5,8,0.02060411100372772
-5,9,-0.004268483807808842
-4,-10,-0.0039509023776722
-4,-9,-0.00348914241622559
-4,-8,0.023473221508083165
-4,-7,0.03897577931539887
-4,-6,-0.03982557421787533
-4,-5,-0.05229496584558654
-4,-4,0.14052385758396435
-4,-3,0.29951872171188554
-4,-2,0.06828649980798075
-4,-1,-0.2631014664884629
-4,0,-0.3462715278823731
-4,1,0.3724337873259268
-4,2,0.39248528690576245
-4,3,0.1642840570283434
-4,4,-0.15495723250966623
-4,5,-0.0941306057543534
-4,6,0.06001387469079317
-4,7,0.03375260426153898
-4,8,-0.018483602716796034
-4,9,-0.01383776796441614
-3,-10,-0.001999426752765185
-3,-9,-0.007777053877744946
-3,-8,-0.004884686021932951
-3,-7,0.010569388603250733
-3,-6,0.061692228707099776
-3,-5,0.00827711942136554
-3,-4,-0.015746314264172608
-3,-3,0.04639816722573155
-3,-2,0.36109971667560103
-3,-1,0.15780216464422017
-3,0,0.7108697544875621
-3,1,0.5032128269881294
-3,2,0.2782672874538118
-3,3,0.009320174004685726
-3,4,0.024159118822993902
-3,5,0.1416756545210858
-3,6,0.009302531932558625
-3,7,-0.025016480294006504
-3,8,-0.005306241912012889
-3,9,0.0018637703659325367
-2,-10,0.002194137729028484
-2,-9,-0.008905202534686825
-2,-8,-0.030099971862413016
-2,-7,-0.006361220353188463
-2,-6,-0.08586421390331558
-2,-5,-0.015692565560432123
-2,-4,0.07698026813290829
-2,-3,-0.16466758807257006
-2,-2,-1.5151335570379105
-2,-1,1.8852686361627937
-2,0,0.5349165817562913
-2,1,-2.059778999000971
-2,2,-0.41919652127584234
-2,3,0.21996299829545005
-2,4,0.2783811395626886
-2,5,-0.1624901971064268
-2,6,0.001110954246752933
-2,7,-0.007053998701569735
-2,8,0.0010687539597148351
-2,9,0.015367980515939753
-1,-10,-0.0024583207896845855
-1,-9,0.004844094387369912
-1,-8,-0.023260203698371718
-1,-7,-0.12463773442874355
-1,-6,0.00653349774897821
-1,-5,-0.36634212702822544
-1,-4,-0.9574873157243439
-1,-3,-0.659973301991702
-1,-2,2.3339590471990674
-1,-1,-3.6876467258605405
-1,0,-1.268889373129067
-1,1,1.3349092449435644
-1,2,-1.5205546028111414
-1,3,-1.5752019122793444
-1,4,-0.9211230565584323
-1,5,0.23535401827759453
-1,6,-0.022542958447839472
-1,7,0.024121588055676903
-1,8,0.0447160698259608
-1,9,-0.00020347042550599966
0,-10,0.0009867304479448853
0,-9,0.00044629210989050044
0,-8,0.010427843436281184
0,-7,0.01796769238742048
0,-6,-0.12989979318547243
0,-5,-0.10143674458464123
0,-4,0.22997682169084468
0,-3,-0.012319732301797877
0,-2,-2.3483547649232905
0,-1,0.6167536565156756
0,0,0.7945908522612891
0,1,-4.607472814513725
0,2,-0.1918243651485115
0,3,0.7050031874426408
0,4,0.0875225303392462
0,5,-0.2398475470978798
0,6,0.09352090093452857
0,7,0.05887954033789756
0,8,-0.008694076844362545
0,9,0.00819578041581678
1,-10,0.007594487523042307
1,-9,0.009337941338845884
1,-8,0.026820255172008346
1,-7,0.04908857367619526
1,-6,0.192465099169612
1,-5,-0.03205398353464729
1,-4,0.6561505592960603
1,-3,0.3585358496787129
1,-2,-3.534802304157964
1,-1,-1.0516920089259982
1,0,5.094037628430726
1,1,-9.040158100870226
1,2,1.6622937759462546
1,3,2.0434975609693913
1,4,-0.009606415056818468
1,5,0.19397147222089572
1,6,0.10354538528059977
1,7,-0.03231272452746356
1,8,-0.027042612115273135
1,9,0.013202894101719988
2,-10,0.0018494248629730725
2,-9,-0.005220110563792301
2,-8,0.004430049369083103
2,-7,0.05131836725403652
2,-6,-0.060388367430498774
2,-5,-0.164544148998427
2,-4,-0.19120531997931833
2,-3,0.07871680450104603
2,-2,0.6407295637563849
2,-1,-0.2601412853227577
2,0,-1.5811087081874209
2,1,1.5625430480607925
2,2,-0.4126252795214418
2,3,-0.4489011406584458
2,4,-0.33101369726119
2,5,-0.09764623125458131
2,6,0.10662500886871709
2,7,0.025947190304918044
2,8,-0.02561688008028422
2,9,-0.004173068345542683
3,-10,-0.00654933838019281
3,-9,0.002686655671256368
3,-8,0.01513108287645929
3,-7,-0.04531408055565062
3,-6,-0.11679016244601571
3,-5,0.08240611937806462
3,-4,0.13548371065421855
3,-3,-0.25489351827513246
3,-2,-0.2757433667617566
3,-1,0.5543566230142569
3,0,-0.15297309374433804
3,1,-0.04952646438131731
3,2,-0.4500858327341162
3,3,0.058004644280997844
3,4,0.2214778741268669
3,5,-0.16962081059448797
3,6,-0.08139035770606332
3,7,0.04833674117869716
3,8,0.022305049413953292
3,9,-0.0145888727073048
4,-10,0.004708020509012428
4,-9,0.000602360452392861
4,-8,-0.025350243311608858
4,-7,-0.023439980444801008
4,-6,0.06439056594617305
4,-5,-0.0764460673786456
4,-4,-0.19590976242666858
4,-3,0.09341795049664763
4,-2,0.40579221440726476
4,-1,-0.8403964002263794
4,0,0.19611703493585175
4,1,0.03355149873834268
4,2,0.17319977919726764
4,3,-0.23210629278218559
4,4,-0.23412284036979436
4,5,0.13373215849883296
4,6,0.0032353168906329327
4,7,-0.037012376722635916
4,8,0.007405460594497259
4,9,0.014615411235346291
5,-10,-0.0020195360851382378
5,-9,-0.00540327276165005
5,-8,0.008718592350823362
5,-7,0.02434608507445361
5,-6,-0.04304950643731755
5,-5,-0.020366257294294973
5,-4,0.11859370498009586
5,-3,0.07099458523063465
5,-2,-0.37087287876929836
5,-1,0.18489924965731705
5,0,-0.14695880482161558
5,1,-0.44289023106231123
5,2,0.03986724925847783
5,3,0.18724150778618598
5,4,0.004038710833101589
5,5,-0.0996166776251719
5,6,0.03535938109694174
5,7,0.020941057042206855
5,8,-0.013944707009601579
5,9,-0.0020541025995340356
6,-10,0.0003148108888546658
6,-9,0.00579741137712883
6,-8,-0.002470005810954566
6,-7,-0.02271863028057867
6,-6,0.021449951047040682
6,-5,0.08122121291934166
6,-4,-0.029167971026145538
6,-3,-0.19094042812427972
6,-2,0.08889013426498547
6,-1,0.07060034713885636
6,0,0.015165269645335483
6,1,0.17872069724378728
6,2,-0.21291079673566293
6,3,-0.04178403347638854
6,4,0.1360257837170954
6,5,0.0395587526237163
6,6,-0.048433866701895034
6,7,-0.0032141938081250553
6,8,0.013607920864500593
6,9,0.00020683846958967586
7,-10,0.004604389532191095
7,-9,-0.0038973958152005665
7,-8,-0.010841715184080378
7,-7,0.018353324674221738
7,-6,0.023432512059154406
7,-5,-0.04392424005878304
7,-4,-0.07167263082724805
7,-3,0.051712620893920494
7,-2,0.0688180795155703
7,-1,-0.0007515972943478956
7,0,0.00023048795685780849
7,1,0.08289152225896913
7,2,0.046384926399827914
7,3,-0.0833079001605882
7,4,-0.057350707513521934
7,5,0.0432222016042442
7,6,0.03337948431463087
7,7,-0.01463118855877397
7,8,-0.007502767103313253
7,9,0.007885999206464924
8,-10,-0.005574583812339142
8,-9,-0.0005117360748636296
8,-8,0.01617961260354855
8,-7,0.002484583902162832
8,-6,-0.03136653855731951
8,-5,-0.015709187763612697
8,-4,0.04812147909204916
8,-3,0.026272249413695114
8,-2,-0.03311866179694855
8,-1,0.0017468042142582234
8,0,0.008935563555231618
8,1,-0.053193520976336596
8,2,0.02993943181172109
8,3,0.0457348524652705
8,4,-0.017997752309965545
8,5,-0.038546433997927884
8,6,0.008103599858808572
8,7,0.023484929968968855
8,8,-0.0005152065277161829
8,9,-0.010667703976753507
9,-10,0.003655174954796787
9,-9,0.001833244240180511
9,-8,-0.010776471799872952
9,-7,-0.009979107854703677
9,-6,0.015583266944562241
9,-5,0.024054150091508412
9,-4,-0.01046827676866821
9,-3,-0.017818609683482766
9,-2,0.01274245826777014
9,-1,-0.0023493672603696007
9,0,-0.009493071590260757
9,1,0.03189027963646312
9,2,-0.014791086138072085
9,3,-0.010484310131138189
9,4,0.022675884200811708
9,5,0.013334733973461884
9,6,-0.018158501403793624
9,7,-0.014551121143777167
9,8,0.005098074158283444
