n1,n2,coeff
-10,-10,0.0003402434541478215
-10,-9,-0.0017053701330304388
-10,-8,-0.002626328781920669
-10,-7,0.0036081976135100852
-10,-6,-0.0027131913081891975
-10,-5,-0.0018251925968913538
-10,-4,0.0045572540915249
-10,-3,-0.0026232958214912386
-10,-2,0.0015813585967654805
-10,-1,-0.003289766034532136
-10,0,-0.0004532602512687267
-10,1,0.00039278474671282105
-10,2,0.002561268357892241
-10,3,-0.002563790540442426
-10,4,-0.004923278265911423
-10,5,0.004654926982259139
-10,6,0.0028517514290927336
-10,7,0.0028276517604419026
-10,8,0.00206256966375273
-10,9,-0.0013382104242325352
-9,-10,-0.005144115391848579
-9,-9,-0.0003844221033054072
-9,-8,-0.0015958700800629824
-9,-7,0.0018584538080816105
-9,-6,0.006336336147517793
-9,-5,-0.0002731844085432775
-9,-4,-0.0028304403430861828
-9,-3,0.002593842604579942
-9,-2,0.011189679169273244
-9,-1,0.010532046045000324
-9,0,0.0026290042503946515
-9,1,-0.004594026451998952
-9,2,0.0014991076259712488
-9,3,0.0016314522759667382
-9,4,0.0005898011346977051
-9,5,-0.005150489781657787
-9,6,-0.0032605443115381965
-9,7,-0.0032471508595879463
-9,8,-0.005717522875492403
-9,9,-0.004340614486942722
-8,-10,0.003574723053198079
-8,-9,-0.00021432689423219218
-8,-8,0.004693204482220861
-8,-7,0.008119357294447977
-8,-6,-0.0012303240408549818
-8,-5,0.0003618590169615709
-8,-4,0.0009497631457061648
-8,-3,-0.006852194213279802
-8,-2,-0.00665996854708581
-8,-1,-0.007412241873202538
-8,0,-0.005924036738885094
-8,1,-0.0017945679224940691
-8,2,0.0014083844594073604
-8,3,0.0010445232744423912
-8,4,0.007120476339808073
-8,5,0.006851604836556112
-8,6,0.0003606791859055825
-8,7,-0.0012430765255506458
-8,8,0.006116138755009115
-8,9,0.0004952696373084972
-7,-10,0.0013531819844374157
-7,-9,0.0008195135026553293
-7,-8,0.0034452397578647984
-7,-7,-0.005389703725272017
-7,-6,0.002659004178786352
-7,-5,-0.000577720731493822
-7,-4,-0.006659613554395434
-7,-3,0.0030594269534686934
-7,-2,-0.005148457381258031
-7,-1,-0.0030579853172559997
-7,0,-0.0003606204127201102
-7,1,0.009545075245355542
-7,2,-0.0018598548878439721
-7,3,-0.003745218254639647
-7,4,-0.003060297819738526
-7,5,-0.009267360405827622
-7,6,0.008678184725321319
-7,7,0.010469485122903101
-7,8,-0.0013374375452150575
-7,9,0.0030856202930265066
-6,-10,-0.004226894710830919
-6,-9,0.002450080253514623
-6,-8,0.002454516979780169
-6,-7,0.008036248863130264
-6,-6,0.0013441151215363646
-6,-5,-0.01172578955428318
-6,-4,0.004786577024649375
-6,-3,0.011119132385984038
-6,-2,0.002603603740253861
-6,-1,0.005859344059548079
-6,0,0.005174130254754145
-6,1,0.0007078495848587779
-6,2,0.0033517643577754665
-6,3,-0.005909175835101304
-6,4,-0.010714906313377967
-6,5,0.0020705416139962626
-6,6,0.0008189010508336862
-6,7,1.0490699891344873e-05
-6,8,0.0005618837591065698
-6,9,0.007958932117660335
-5,-10,0.004164274756262909
-5,-9,-0.006029502339996435
-5,-8,-0.008541496151877739
-5,-7,-0.006074844197684706
-5,-6,0.0015702098001047283
-5,-5,-0.00283038426882197
-5,-4,-0.009781939389617092
-5,-3,0.00232803632430799
-5,-2,0.0014634885279688212
-5,-1,0.0024576433696440916
-5,0,0.002168822584926379
-5,1,-0.007729904510126458
-5,2,-0.013990681034136298
-5,3,0.005924113921893506
-5,4,0.0037394675678389198
-5,5,-0.002633265593347614
-5,6,0.00017795539569014107
-5,7,0.00202643233740235
-5,8,-0.0055201606783962884
-5,9,-0.004548443786650378
-4,-10,0.0019317272670842506
-4,-9,-0.002561250165466763
-4,-8,-0.0016001083605766393
-4,-7,-0.009839303544048642
-4,-6,-0.004759418641470454
-4,-5,0.012399769119711575
-4,-4,0.006763179615392448
-4,-3,0.00040215836069963553
-4,-2,-0.0013001678508421746
-4,-1,0.0014757239588456036
-4,0,-0.001301650460333782
-4,1,-0.001602273992660601
-4,2,-0.0030519036475636216
-4,3,-0.0007777197515434008
-4,4,0.003081294698324174
-4,5,0.000617984685764496
-4,6,-4.155736364574831e-05
-4,7,-0.01344465003567241
-4,8,-0.0010912086303136745
-4,9,-0.006067872921838584
-3,-10,0.004350028869567898
-3,-9,0.013887361318057841
-3,-8,0.008051459709763056
-3,-7,-0.00357456745707965
-3,-6,-0.0032958555539650295
-3,-5,0.0028826993541687393
-3,-4,0.0002995928897589628
-3,-3,0.0029084760657677997
-3,-2,-0.0034486694376509646
-3,-1,-0.008590289068084329
-3,0,0.00535808760270008
-3,1,-0.009866986240301481
-3,2,0.004577742937730628
-3,3,0.01428403681432208
-3,4,-0.003929769551021075
-3,5,0.0032066698922603113
-3,6,0.004862444043607485
-3,7,0.002761321295770727
-3,8,-0.018221175027878185
-3,9,0.009577947265980402
-2,-10,-0.0025354239120307914
-2,-9,-0.012515697079921433
-2,-8,-0.01706778099661357
-2,-7,0.009530693229001228
-2,-6,0.011487720764571179
-2,-5,-0.009611262515028878
-2,-4,-0.014259003496950012
-2,-3,0.014321420212974492
-2,-2,-0.0018553829717037039
-2,-1,-0.005486665338625965
-2,0,-0.010903850251816432
-2,1,0.00018296715338126138
-2,2,0.013064765687689097
-2,3,-0.015917775853985787
-2,4,0.004783217842695256
-2,5,0.0012239673703629272
-2,6,-0.007541805313704897
-2,7,-0.005432210398817942
-2,8,-0.0004217632811147346
-2,9,0.004583522784441365
-1,-10,0.002292715930379328
-1,-9,0.0023986646394662807
-1,-8,0.0007650466317547281
-1,-7,0.0034708094696130547
-1,-6,0.008885983614495222
-1,-5,0.025469742507312723
-1,-4,-0.023621789356177644
-1,-3,-0.02173180869000569
-1,-2,0.05274095058069223
-1,-1,0.01751411970508642
-1,0,-0.03497796036981341
-1,1,0.0256855979976162
-1,2,0.016057841625218294
-1,3,-0.01176018687669694
-1,4,0.006782921997988535
-1,5,-0.011648689028768344
-1,6,-0.00937069324920333
-1,7,0.0017537394128238082
-1,8,-0.00596086904846146
-1,9,-0.004227752203321102
0,-10,0.31634437700626555
0,-9,-1.7107276080136262
0,-8,-4.597308163786804
0,-7,0.03844225155387229
0,-6,-14.755683244323253
0,-5,-21.593811014332868
0,-4,-9.138944879534773
0,-3,-12.190240404755887
0,-2,-195.51467962573759
0,-1,43.1145864066371
0,0,494.18374841215723
0,1,-186.1018626794161
0,2,-74.09161141472988
0,3,51.79428322308056
0,4,-35.801981991607676
0,5,6.793992193693932
0,6,-4.140958327725901
0,7,-3.142139726701111
0,8,2.812301527170916
0,9,-0.3799775335309922
1,-10,-0.005700902159250215
1,-9,-0.007870302127138278
1,-8,0.0002072445576717674
1,-7,0.012232008697105785
1,-6,0.008229639605484129
1,-5,0.011076682356693856
1,-4,0.007592811680175361
1,-3,0.007297414066983671
1,-2,-0.0029874828011556363
1,-1,-0.010450557898055195
1,0,0.002397329033232236
1,1,-0.013300242318122416
1,2,0.0136538546205683
